level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables	kind
0	0	0-20000-0-84416	PIURA GRUP7	-5.183333333333334	-80.6		Upper-air / Radiosonde station, Surface land meteorological station (SYNOP), GOS, CLIMAT(C)	05 11 00S	080 36 00W	84416	999.0	999.0	True	0.4		OSCAR	0-20000-0-84416	piura	4.3	-5.2	-80.6333333																						[-5.18, -5.18]	[-80.6, -80.6]	era5.conv._84416	era5_1	20030427	20111107	84416	0-20000-0-84416	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
1	2	0-20000-0-84401	PIURA	-5.2	-80.6	55.0	Climatological station, Surface land meteorological station (SYNOP), GSN, GOS, CLIMAT(C), RBCN	05 12 00S	080 36 00W	84401	999.0	999.0	False	2.2		OSCAR	0-20000-0-84401	piura	4.3	-5.2	-80.6333333																						[-5.18, -5.18]	[-80.6, -80.6]	era5.conv._84416	era5_1	20030427	20111107	84416	0-20000-0-84416	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
0	0		PIURA GRUP7	-5.1833	-80.6	52.0				84416	2003.0	2011.0	True	0.4		IGRA2	0-20300-0-84416	piura	4.3	-5.2	-80.6333333	PEM00084416																					[-5.18, -5.18]	[-80.6, -80.6]	era5.conv._84416	era5_1	20030427	20111107	84416	0-20000-0-84416	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
1	2		PIURA	-5.2	-80.6	49.0				84401	2002.0	2007.0	True	2.2		IGRA2	0-20300-0-84401	piura	4.3	-5.2	-80.6333333	PEM00084401																					[-5.18, -5.18]	[-80.6, -80.6]	era5.conv._84416	era5_1	20030427	20111107	84416	0-20000-0-84416	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
0	0															WBAN	0-20500-0-nan	piura	4.3	-5.2	-80.6333333																						[-5.18, -5.18]	[-80.6, -80.6]	era5.conv._84416	era5_1	20030427	20111107	84416	0-20000-0-84416	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
0	0															CHUAN	0-20400-0-nan	piura	4.3	-5.2	-80.6333333																						[-5.18, -5.18]	[-80.6, -80.6]	era5.conv._84416	era5_1	20030427	20111107	84416	0-20000-0-84416	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
0	0		Piura Grupo Aereo No. 7, Peru	-5.18	-80.6	-999.0				84416				0.0		SCHROEDER	0-20600-0-84416	piura	4.3	-5.2	-80.6333333		84416	3563.0	2004-09-29 00:00:00	2010-02-19 00:00:00																	[-5.18, -5.18]	[-80.6, -80.6]	era5.conv._84416	era5_1	20030427	20111107	84416	0-20000-0-84416	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
1	1		Piura - University of Piura PACS-SONET pibal site (operated by University of Piura), Peru	-5.17	-80.64	-999.0				84401				4.6		SCHROEDER	0-20600-0-84401	piura	4.3	-5.2	-80.6333333		84401	3561.0	1997-05-01 00:00:00	2002-09-14 00:00:00																	[-5.18, -5.18]	[-80.6, -80.6]	era5.conv._84416	era5_1	20030427	20111107	84416	0-20000-0-84416	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
2	2		"(made up station ID) ""PSPIU"" Piura - Universidad de Piura 50 MHz wind profiler, Peru"	-5.17	-80.64	-999.0				84402				4.6		SCHROEDER	0-20600-0-84402	piura	4.3	-5.2	-80.6333333		84402	3562.0	1989-01-01 00:00:00	1994-01-01 00:00:00																	[-5.18, -5.18]	[-80.6, -80.6]	era5.conv._84416	era5_1	20030427	20111107	84416	0-20000-0-84416	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
0	0		PIURA                    	-5.183333333333334	-80.6	55.0				84401				0.4		WMO	0-20700-0-84401	piura	4.3	-5.2	-80.6333333		84401	2281.0																			[-5.18, -5.18]	[-80.6, -80.6]	era5.conv._84416	era5_1	20030427	20111107	84416	0-20000-0-84416	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
0	0															AMMA	0-20800-0-nan	piura	4.3	-5.2	-80.6333333																						[-5.18, -5.18]	[-80.6, -80.6]	era5.conv._84416	era5_1	20030427	20111107	84416	0-20000-0-84416	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
0	0															HARA	0-20111-0-nan	piura	4.3	-5.2	-80.6333333																						[-5.18, -5.18]	[-80.6, -80.6]	era5.conv._84416	era5_1	20030427	20111107	84416	0-20000-0-84416	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
