level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables	kind
0	0	0-20000-0-15300	BRASOV-GHIMBAV	45.69583333333333	25.52611111111111	535.2	Precipitation station, Surface land meteorological station (SYNOP), GOS	45 41 45N	025 31 34E	15300	999.0	999.0	False	0.6		OSCAR	0-20000-0-15300	codlea	6.2	45.7	25.45																						[45.7, 45.7]	[25.53, 25.53]	era5.conv._15300	era5_1	19790304	19871024	15300	0-20000-0-15300	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
1	2	0-20000-0-15302	PREDEAL	45.506388888888885	25.58361111111111	1091.3	Surface land meteorological station (SYNOP), GOS	45 30 23N	025 35 01E	15302	999.0	999.0	False	21.9		OSCAR	0-20000-0-15302	codlea	6.2	45.7	25.45																						[45.7, 45.7]	[25.53, 25.53]	era5.conv._15300	era5_1	19790304	19871024	15300	0-20000-0-15300	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
2	3	0-20000-0-15238	SFANTU GHEORGHE COVASNA	45.87166666666667	25.802222222222223	524.2	Surface land meteorological station (SYNOP), GOS	45 52 18N	025 48 08E	15238	999.0	999.0	False	28.5		OSCAR	0-20000-0-15238	codlea	6.2	45.7	25.45																						[45.7, 45.7]	[25.53, 25.53]	era5.conv._15300	era5_1	19790304	19871024	15300	0-20000-0-15300	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
3	4	0-20000-0-15280	VARFU OMU	45.44583333333333	25.456666666666667		Surface land meteorological station (SYNOP), GOS	45 26 45N	025 27 24E	15280	999.0	999.0	False	28.8		OSCAR	0-20000-0-15280	codlea	6.2	45.7	25.45																						[45.7, 45.7]	[25.53, 25.53]	era5.conv._15300	era5_1	19790304	19871024	15300	0-20000-0-15300	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
0	0		BRASOV-GHIMBAV	45.7	25.533	538.0				15300	1974.0	1984.0	True	0.2		IGRA2	0-20300-0-15300	codlea	6.2	45.7	25.45	ROM00015300																					[45.7, 45.7]	[25.53, 25.53]	era5.conv._15300	era5_1	19790304	19871024	15300	0-20000-0-15300	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
1	2		PREDEAL	45.5	25.583	1093.0				15302	1977.0	1988.0	True	22.6		IGRA2	0-20300-0-15302	codlea	6.2	45.7	25.45	ROM00015302																					[45.7, 45.7]	[25.53, 25.53]	era5.conv._15300	era5_1	19790304	19871024	15300	0-20000-0-15300	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
0	0															WBAN	0-20500-0-nan	codlea	6.2	45.7	25.45																						[45.7, 45.7]	[25.53, 25.53]	era5.conv._15300	era5_1	19790304	19871024	15300	0-20000-0-15300	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
0	0															CHUAN	0-20400-0-nan	codlea	6.2	45.7	25.45																						[45.7, 45.7]	[25.53, 25.53]	era5.conv._15300	era5_1	19790304	19871024	15300	0-20000-0-15300	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
0	0		Predeal, Romania	45.5	25.58	-999.0				15302				22.6		SCHROEDER	0-20600-0-15302	codlea	6.2	45.7	25.45		15302	556.0	1976-02-04 00:00:00	1976-02-04 00:00:00																	[45.7, 45.7]	[25.53, 25.53]	era5.conv._15300	era5_1	19790304	19871024	15300	0-20000-0-15300	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
0	0		VIRFU OMU                	45.45	25.45	-999.0				15280				28.5		WMO	0-20700-0-15280	codlea	6.2	45.7	25.45		15280	2358.0																			[45.7, 45.7]	[25.53, 25.53]	era5.conv._15300	era5_1	19790304	19871024	15300	0-20000-0-15300	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
0	0															AMMA	0-20800-0-nan	codlea	6.2	45.7	25.45																						[45.7, 45.7]	[25.53, 25.53]	era5.conv._15300	era5_1	19790304	19871024	15300	0-20000-0-15300	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
0	0															HARA	0-20111-0-nan	codlea	6.2	45.7	25.45																						[45.7, 45.7]	[25.53, 25.53]	era5.conv._15300	era5_1	19790304	19871024	15300	0-20000-0-15300	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
