level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	WIGOS_calc	inventory	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0																OSCAR	pavia	2.0	45.166667	9.166667																						[45.18, 45.18]	[9.15, 9.15]	4917.txt_converted_csv_reduced.csv	giub	1908-09-30	1956-12-31	4917	0-20400-0-4917	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0															0-20300-0-nan	IGRA2	pavia	2.0	45.166667	9.166667																						[45.18, 45.18]	[9.15, 9.15]	4917.txt_converted_csv_reduced.csv	giub	1908-09-30	1956-12-31	4917	0-20400-0-4917	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0															0-20500-0-nan	WBAN	pavia	2.0	45.166667	9.166667																						[45.18, 45.18]	[9.15, 9.15]	4917.txt_converted_csv_reduced.csv	giub	1908-09-30	1956-12-31	4917	0-20400-0-4917	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0		Pavia	45.18	9.15	75				4917.0	-999-999	-999-999		0.0		0-20400-0-4917	CHUAN	pavia	2.0	45.166667	9.166667		-999																				[45.18, 45.18]	[9.15, 9.15]	4917.txt_converted_csv_reduced.csv	giub	1908-09-30	1956-12-31	4917	0-20400-0-4917	['126', '137', '106', '107', '137', '138', '139', '140', '117']
1	1		Pavia	45.18	9.17	75				5273.0	-999-999	-999-999		1.6		0-20400-0-5273	CHUAN	pavia	2.0	45.166667	9.166667		-999																				[45.18, 45.18]	[9.15, 9.15]	4917.txt_converted_csv_reduced.csv	giub	1908-09-30	1956-12-31	4917	0-20400-0-4917	['126', '137', '106', '107', '137', '138', '139', '140', '117']
2	2		Pavia	45.18	9.17	75				5272.0	-999-999	-999-999		1.6		0-20400-0-5272	CHUAN	pavia	2.0	45.166667	9.166667		-999																				[45.18, 45.18]	[9.15, 9.15]	4917.txt_converted_csv_reduced.csv	giub	1908-09-30	1956-12-31	4917	0-20400-0-4917	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0		(made up station ID) Pavia - R. Osservatorio Geofisico, Italy	45.18	9.17	-999				16074.0				1.6		0-20600-0-16074	SCHROEDER	pavia	2.0	45.166667	9.166667		16074	573.0	1904-01-01 00:00:00	1915-01-01 00:00:00																	[45.18, 45.18]	[9.15, 9.15]	4917.txt_converted_csv_reduced.csv	giub	1908-09-30	1956-12-31	4917	0-20400-0-4917	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0															0-20700-0-nan	WMO	pavia	2.0	45.166667	9.166667																						[45.18, 45.18]	[9.15, 9.15]	4917.txt_converted_csv_reduced.csv	giub	1908-09-30	1956-12-31	4917	0-20400-0-4917	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0															0-20800-0-nan	AMMA	pavia	2.0	45.166667	9.166667																						[45.18, 45.18]	[9.15, 9.15]	4917.txt_converted_csv_reduced.csv	giub	1908-09-30	1956-12-31	4917	0-20400-0-4917	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0															0-20111-0-nan	HARA	pavia	2.0	45.166667	9.166667																						[45.18, 45.18]	[9.15, 9.15]	4917.txt_converted_csv_reduced.csv	giub	1908-09-30	1956-12-31	4917	0-20400-0-4917	['126', '137', '106', '107', '137', '138', '139', '140', '117']
