file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
20047									[80.44, 80.44]	[52.8, 52.8]	OSCAR				1958-05-01	1963-04-28				0-20300-0-20047	None	['126', '137', '106', '107', '117']
20047	20047	BUKHTA TIKHAYA/GUKER IS.	80.45	52.8	5.0			1.1	[80.44, 80.44]	[52.8, 52.8]	IGRA2			0-20300-0-20047	1958-05-01	1963-04-28	1934	1956	True	0-20300-0-20047	None	['126', '137', '106', '107', '117']
20047									[80.44, 80.44]	[52.8, 52.8]	WBAN			0-20500-0-nan	1958-05-01	1963-04-28				0-20300-0-20047	None	['126', '137', '106', '107', '117']
20047	4547	Buhta Tihaya	80.32	52.8	5			13.4	[80.44, 80.44]	[52.8, 52.8]	CHUAN		-999	0-20400-0-4547	1958-05-01	1963-04-28	195404	195409		0-20300-0-20047	None	['126', '137', '106', '107', '117']
20047	4609	Buhta Tihaya	80.32	52.8	5			13.4	[80.44, 80.44]	[52.8, 52.8]	CHUAN		-999	0-20400-0-4609	1958-05-01	1963-04-28	195410	195504		0-20300-0-20047	None	['126', '137', '106', '107', '117']
20047	4713	Buhta Tihaya	80.32	52.8	33			13.4	[80.44, 80.44]	[52.8, 52.8]	CHUAN		-999	0-20400-0-4713	1958-05-01	1963-04-28	193607	193606		0-20300-0-20047	None	['126', '137', '106', '107', '117']
20047	4721	Buhta Tihaya	80.32	52.8	38			13.4	[80.44, 80.44]	[52.8, 52.8]	CHUAN		-999	0-20400-0-4721	1958-05-01	1963-04-28	193707	193806		0-20300-0-20047	None	['126', '137', '106', '107', '117']
20047	4731	Buhta Tihaya	80.32	52.8	0			13.4	[80.44, 80.44]	[52.8, 52.8]	CHUAN		-999	0-20400-0-4731	1958-05-01	1963-04-28	193807	193906		0-20300-0-20047	None	['126', '137', '106', '107', '117']
20047	4740	Buhta Tihaya	80.32	52.8	2			13.4	[80.44, 80.44]	[52.8, 52.8]	CHUAN		-999	0-20400-0-4740	1958-05-01	1963-04-28	193907	194006		0-20300-0-20047	None	['126', '137', '106', '107', '117']
20047	4747	Buhta Tihaya	80.32	52.8	11			13.4	[80.44, 80.44]	[52.8, 52.8]	CHUAN		-999	0-20400-0-4747	1958-05-01	1963-04-28	194410	194412		0-20300-0-20047	None	['126', '137', '106', '107', '117']
20047	4756	Buhta Tihaya	80.32	52.8	11			13.4	[80.44, 80.44]	[52.8, 52.8]	CHUAN		-999	0-20400-0-4756	1958-05-01	1963-04-28	194607	194705		0-20300-0-20047	None	['126', '137', '106', '107', '117']
20047	4766	Buhta Tihaya	80.32	52.8	11			13.4	[80.44, 80.44]	[52.8, 52.8]	CHUAN		-999	0-20400-0-4766	1958-05-01	1963-04-28	194807	194812		0-20300-0-20047	None	['126', '137', '106', '107', '117']
20047	4774	Buhta Tihaya	80.32	52.8	11			13.4	[80.44, 80.44]	[52.8, 52.8]	CHUAN		-999	0-20400-0-4774	1958-05-01	1963-04-28	194907	194912		0-20300-0-20047	None	['126', '137', '106', '107', '117']
20047	5992	Buhta Tikaya	80.32	52.8	11			13.4	[80.44, 80.44]	[52.8, 52.8]	CHUAN		-999	0-20400-0-5992	1958-05-01	1963-04-28	-999-999	-999-999		0-20300-0-20047	None	['126', '137', '106', '107', '117']
20047	6001	Buhta Tikaya	80.32	52.8	11			13.4	[80.44, 80.44]	[52.8, 52.8]	CHUAN		-999	0-20400-0-6001	1958-05-01	1963-04-28	-999-999	-999-999		0-20300-0-20047	None	['126', '137', '106', '107', '117']
20047	4708	Buhta Tihaya	80.32	52.8	2			13.4	[80.44, 80.44]	[52.8, 52.8]	CHUAN		-999	0-20400-0-4708	1958-05-01	1963-04-28	193409	193507		0-20300-0-20047	None	['126', '137', '106', '107', '117']
20047	20049	Bukhta Tikhaya, Ostrov Gukera, Zemlya Frantsa Iosifa / Tikhaya Harbor, Hooker Island, Franz Josef Land	80.37	52.92	-999			8.1	[80.44, 80.44]	[52.8, 52.8]	SCHROEDER		20049	0-20600-0-20049	1958-05-01	1963-04-28				0-20300-0-20047	None	['126', '137', '106', '107', '117']
20047									[80.44, 80.44]	[52.8, 52.8]	WMO			0-20700-0-nan	1958-05-01	1963-04-28				0-20300-0-20047	None	['126', '137', '106', '107', '117']
20047									[80.44, 80.44]	[52.8, 52.8]	AMMA			0-20800-0-nan	1958-05-01	1963-04-28				0-20300-0-20047	None	['126', '137', '106', '107', '117']
20047	20047		80.44	52.8				0.0	[80.44, 80.44]	[52.8, 52.8]	HARA		20047	0-20111-0-20047	1958-05-01	1963-04-28			True	0-20300-0-20047	None	['126', '137', '106', '107', '117']
