level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	WIGOS_calc	inventory	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0																OSCAR	saint charles	31.3	38.60305560000001	-76.93888890000002						[38.33, 38.33]	[-77.03, -77.03]	USM00074574	igra2	1946	1959	74574	0-20300-0-74574	['85', '38', '106', '107']
0	0		DAHLGREN	38.33	-77.03	7.0				74574	1946.0	1959.0	True	0.0		0-20300-0-74574	IGRA2	saint charles	31.3	38.60305560000001	-76.93888890000002	USM00074574					[38.33, 38.33]	[-77.03, -77.03]	USM00074574	igra2	1946	1959	74574	0-20300-0-74574	['85', '38', '106', '107']
0	0		DAHLGREN PROVING GROUNDS	38.33	-77.03	6.096				13760	19480801.0	19480831.0		0.0		0-20500-0-13760	WBAN	saint charles	31.3	38.60305560000001	-76.93888890000002						[38.33, 38.33]	[-77.03, -77.03]	USM00074574	igra2	1946	1959	74574	0-20300-0-74574	['85', '38', '106', '107']
1	1		DAHLGREN PROVING GROUNDS	38.33	-77.03	6.096				13760	19480831.0	19590901.0		0.0		0-20500-0-13760	WBAN	saint charles	31.3	38.60305560000001	-76.93888890000002						[38.33, 38.33]	[-77.03, -77.03]	USM00074574	igra2	1946	1959	74574	0-20300-0-74574	['85', '38', '106', '107']
2	2		DAHLGREN WEAPONS LAB	38.33	-77.03	6.096				13760	19220701.0	19410228.0		0.0		0-20500-0-13760	WBAN	saint charles	31.3	38.60305560000001	-76.93888890000002						[38.33, 38.33]	[-77.03, -77.03]	USM00074574	igra2	1946	1959	74574	0-20300-0-74574	['85', '38', '106', '107']
3	3		DAHLGREN WEAPONS LAB	38.33	-77.03	6.096				13760	19410228.0	19440701.0		0.0		0-20500-0-13760	WBAN	saint charles	31.3	38.60305560000001	-76.93888890000002						[38.33, 38.33]	[-77.03, -77.03]	USM00074574	igra2	1946	1959	74574	0-20300-0-74574	['85', '38', '106', '107']
4	4		DAHLGREN WEAPONS LAB	38.33	-77.03	6.096				13760	19440701.0	19480801.0		0.0		0-20500-0-13760	WBAN	saint charles	31.3	38.60305560000001	-76.93888890000002						[38.33, 38.33]	[-77.03, -77.03]	USM00074574	igra2	1946	1959	74574	0-20300-0-74574	['85', '38', '106', '107']
5	5		DAHLGREN WEAPONS LAB	38.33	-77.03	6.096				13760	19590901.0	19591130.0		0.0		0-20500-0-13760	WBAN	saint charles	31.3	38.60305560000001	-76.93888890000002						[38.33, 38.33]	[-77.03, -77.03]	USM00074574	igra2	1946	1959	74574	0-20300-0-74574	['85', '38', '106', '107']
6	6		DAHLGREN WEAPONS LAB	38.33	-77.03	6.096				13760	19591130.0	19631231.0		0.0		0-20500-0-13760	WBAN	saint charles	31.3	38.60305560000001	-76.93888890000002						[38.33, 38.33]	[-77.03, -77.03]	USM00074574	igra2	1946	1959	74574	0-20300-0-74574	['85', '38', '106', '107']
0	0															0-20400-0-nan	CHUAN	saint charles	31.3	38.60305560000001	-76.93888890000002						[38.33, 38.33]	[-77.03, -77.03]	USM00074574	igra2	1946	1959	74574	0-20300-0-74574	['85', '38', '106', '107']
0	0															0-20600-0-nan	SCHROEDER	saint charles	31.3	38.60305560000001	-76.93888890000002						[38.33, 38.33]	[-77.03, -77.03]	USM00074574	igra2	1946	1959	74574	0-20300-0-74574	['85', '38', '106', '107']
0	0															0-20700-0-nan	WMO	saint charles	31.3	38.60305560000001	-76.93888890000002						[38.33, 38.33]	[-77.03, -77.03]	USM00074574	igra2	1946	1959	74574	0-20300-0-74574	['85', '38', '106', '107']
