file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
11518	11518	PRAHA/RUZYNE	50.10027777777778	14.255555555555556	365.34	50 06 01N	014 15 20E	2.0	[50.1, 50.1]	[14.2833, 14.2833]	OSCAR	0-20000-0-11518		0-20000-0-11518	1949	1967	999	999	False	0-20000-0-11520	prague	['85', '38', '106', '107']
11518	11519	PRAHA-KARLOV	50.06916666666667	14.427777777777777	254.0	50 04 09N	014 25 40E	10.9	[50.1, 50.1]	[14.2833, 14.2833]	OSCAR	0-20000-0-11519		0-20000-0-11519	1949	1967	999	999	False	0-20000-0-11520	prague	['85', '38', '106', '107']
11518	11520	PRAHA-LIBUS	50.007777777777775	14.446944444444444	304.19	50 00 28N	014 26 49E	15.6	[50.1, 50.1]	[14.2833, 14.2833]	OSCAR	0-20000-0-11520		0-20000-0-11520	1949	1967	999	999	True	0-20000-0-11520	prague	['85', '38', '106', '107']
11518	11567	PRAHA-KBELY	50.123333333333335	14.538055555555555	285.5	50 07 24N	014 32 17E	18.4	[50.1, 50.1]	[14.2833, 14.2833]	OSCAR	0-20000-0-11567		0-20000-0-11567	1949	1967	999	999	False	0-20000-0-11520	prague	['85', '38', '106', '107']
11518	11518	PRAHA/RUZYNE	50.1	14.2833	374.0			0.0	[50.1, 50.1]	[14.2833, 14.2833]	IGRA2			0-20300-0-11518	1949	1967	1949	1967	True	0-20000-0-11520	prague	['85', '38', '106', '107']
11518	11520	PRAHA-LIBUS	50.0078	14.4469	302.0			15.6	[50.1, 50.1]	[14.2833, 14.2833]	IGRA2			0-20300-0-11520	1949	1967	1969	2021	True	0-20000-0-11520	prague	['85', '38', '106', '107']
11518									[50.1, 50.1]	[14.2833, 14.2833]	WBAN			0-20500-0-nan	1949	1967				0-20000-0-11520	prague	['85', '38', '106', '107']
11518	5727	Prag	50.1	14.28	300			0.2	[50.1, 50.1]	[14.2833, 14.2833]	CHUAN		-999	0-20400-0-5727	1949	1967	-999-999	-999-999		0-20000-0-11520	prague	['85', '38', '106', '107']
11518	5178	Kbely	50.13	14.52	200			17.3	[50.1, 50.1]	[14.2833, 14.2833]	CHUAN		-999	0-20400-0-5178	1949	1967	-999-999	-999-999		0-20000-0-11520	prague	['85', '38', '106', '107']
11518	11518	LKPR Praha / Prague (Ruzyne AP), Czechoslovakia	50.1	14.28	-999			0.2	[50.1, 50.1]	[14.2833, 14.2833]	SCHROEDER		11518	0-20600-0-11518	1949	1967				0-20000-0-11520	prague	['85', '38', '106', '107']
11518	11520	Praha / Prague (Libus - Observator Ceskeho Hydrometeorologickeho Ustavu [Czech Hydrometeorological Institute Observatory]), Czechoslovakia	50.01	14.45	-999			15.6	[50.1, 50.1]	[14.2833, 14.2833]	SCHROEDER		11520	0-20600-0-11520	1949	1967				0-20000-0-11520	prague	['85', '38', '106', '107']
11518	11567	LKKB Prague (Kbely AP), Czechoslovakia	50.12	14.53	-999			17.8	[50.1, 50.1]	[14.2833, 14.2833]	SCHROEDER		11567	0-20600-0-11567	1949	1967				0-20000-0-11520	prague	['85', '38', '106', '107']
11518	11518	PRAGUE RUZINE AIRPORT   0	50.1	14.266666666666667	379.0			1.2	[50.1, 50.1]	[14.2833, 14.2833]	WMO		11518	0-20700-0-11518	1949	1967				0-20000-0-11520	prague	['85', '38', '106', '107']
