level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-67666	LUSAKA CITY AIRPORT	-15.416666666666666	28.466666666666665		Climatological station, Upper-air / Radiosonde station, Surface land meteorological station (SYNOP), RBSN(T), GOS, GSN, RBCN	15 25 00S	028 28 00E	67666	999.0	999.0	True	16.1		OSCAR	0-20000-0-67666	lusaka	3.6	-15.4166667	28.2833333						[-15.417, -15.417]	[28.317, 28.317]	ZAM00067666	igra2	1956	2000	67666	0-20000-0-67666	['85', '38', '106', '107']
1	1	0-894-1-CITY005	LUSAKA CITY AIRPORT	-15.416666666666666	28.466666666666665		Climatological station, Upper-air / Radiosonde station, Surface land meteorological station (SYNOP), RBSN(T), GOS, GSN, RBCN	15 25 00S	028 28 00E	CITY005	999.0	999.0	True	16.1		OSCAR	0-894-1-CITY005	lusaka	3.6	-15.4166667	28.2833333						[-15.417, -15.417]	[28.317, 28.317]	ZAM00067666	igra2	1956	2000	67666	0-20000-0-67666	['85', '38', '106', '107']
2	2	0-894-1-cty0005	LUSAKA CITY AIRPORT	-15.416666666666666	28.466666666666665		Climatological station, Upper-air / Radiosonde station, Surface land meteorological station (SYNOP), RBSN(T), GOS, GSN, RBCN	15 25 00S	028 28 00E	cty0005	999.0	999.0	True	16.1		OSCAR	0-894-1-cty0005	lusaka	3.6	-15.4166667	28.2833333						[-15.417, -15.417]	[28.317, 28.317]	ZAM00067666	igra2	1956	2000	67666	0-20000-0-67666	['85', '38', '106', '107']
3	4	0-894-1-mak0030	MOUNT MAKULU	-15.55	28.25	1213.0	Climatological station, Surface land meteorological station (SYNOP), RBCN, RBSN(S), GOS	15 33 00S	028 15 00E	mak0030	999.0	999.0	False	16.4		OSCAR	0-894-1-mak0030	lusaka	3.6	-15.4166667	28.2833333						[-15.417, -15.417]	[28.317, 28.317]	ZAM00067666	igra2	1956	2000	67666	0-20000-0-67666	['85', '38', '106', '107']
4	5	0-20000-0-67667	MOUNT MAKULU	-15.55	28.25	1213.0	Climatological station, Surface land meteorological station (SYNOP), RBCN, RBSN(S), GOS	15 33 00S	028 15 00E	67667	999.0	999.0	False	16.4		OSCAR	0-20000-0-67667	lusaka	3.6	-15.4166667	28.2833333						[-15.417, -15.417]	[28.317, 28.317]	ZAM00067666	igra2	1956	2000	67666	0-20000-0-67666	['85', '38', '106', '107']
5	6	0-894-1-MKLU031	MOUNT MAKULU	-15.55	28.25	1213.0	Climatological station, Surface land meteorological station (SYNOP), RBCN, RBSN(S), GOS	15 33 00S	028 15 00E	MKLU031	999.0	999.0	False	16.4		OSCAR	0-894-1-MKLU031	lusaka	3.6	-15.4166667	28.2833333						[-15.417, -15.417]	[28.317, 28.317]	ZAM00067666	igra2	1956	2000	67666	0-20000-0-67666	['85', '38', '106', '107']
6	7	0-20000-0-67665	LUSAKA INTERNATIONAL AIRPORT	-15.316666666666666	28.45	1154.0	Climatological station, Surface land meteorological station (SYNOP), RBSN(S), RBCN, CLIMAT(C), GOS	15 19 00S	028 27 00E	67665	999.0	999.0	False	18.1		OSCAR	0-20000-0-67665	lusaka	3.6	-15.4166667	28.2833333						[-15.417, -15.417]	[28.317, 28.317]	ZAM00067666	igra2	1956	2000	67666	0-20000-0-67666	['85', '38', '106', '107']
0	0		LUSAKA CITY AIRPORT	-15.417	28.317	1280.0				67666	1956.0	2000.0	True	0.0		IGRA2	0-20300-0-67666	lusaka	3.6	-15.4166667	28.2833333	ZAM00067666					[-15.417, -15.417]	[28.317, 28.317]	ZAM00067666	igra2	1956	2000	67666	0-20000-0-67666	['85', '38', '106', '107']
0	0															WBAN	0-20500-0-nan	lusaka	3.6	-15.4166667	28.2833333						[-15.417, -15.417]	[28.317, 28.317]	ZAM00067666	igra2	1956	2000	67666	0-20000-0-67666	['85', '38', '106', '107']
0	0															CHUAN	0-20400-0-nan	lusaka	3.6	-15.4166667	28.2833333						[-15.417, -15.417]	[28.317, 28.317]	ZAM00067666	igra2	1956	2000	67666	0-20000-0-67666	['85', '38', '106', '107']
0	0		Lusaka City AP, Zambia	-15.4166	28.32	-999.0				67666				0.3		SCHROEDER	0-20600-0-67666	lusaka	3.6	-15.4166667	28.2833333		67666	2136.0	1985-07-02 00:00:00	1986-09-01 00:00:00	[-15.417, -15.417]	[28.317, 28.317]	ZAM00067666	igra2	1956	2000	67666	0-20000-0-67666	['85', '38', '106', '107']
1	1		(made up station ID) Lusaka (City AP) SHADOZ ozonesonde site, Zambia	-15.42	28.32	-999.0				67664				0.5		SCHROEDER	0-20600-0-67664	lusaka	3.6	-15.4166667	28.2833333		67664	2134.0	2000-09-06 00:00:00	2000-09-06 00:00:00	[-15.417, -15.417]	[28.317, 28.317]	ZAM00067666	igra2	1956	2000	67666	0-20000-0-67666	['85', '38', '106', '107']
2	2		Lusaka Intl. AP, Zambia	-15.32	28.45	-999.0				67665				17.9		SCHROEDER	0-20600-0-67665	lusaka	3.6	-15.4166667	28.2833333		67665	2135.0	1976-02-02 00:00:00	1976-02-02 00:00:00	[-15.417, -15.417]	[28.317, 28.317]	ZAM00067666	igra2	1956	2000	67666	0-20000-0-67666	['85', '38', '106', '107']
0	0		LUSAKA CITY              	-15.416666666666666	28.316666666666663	-999.0				67666				0.1		WMO	0-20700-0-67666	lusaka	3.6	-15.4166667	28.2833333		67666	4772.0			[-15.417, -15.417]	[28.317, 28.317]	ZAM00067666	igra2	1956	2000	67666	0-20000-0-67666	['85', '38', '106', '107']
1	2		LUSAKA AIRPORT           	-15.316666666666666	28.45	-999.0				67665				18.1		WMO	0-20700-0-67665	lusaka	3.6	-15.4166667	28.2833333		67665	411.0			[-15.417, -15.417]	[28.317, 28.317]	ZAM00067666	igra2	1956	2000	67666	0-20000-0-67666	['85', '38', '106', '107']
