level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	WIGOS_calc	inventory	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	kind
1	1		HARLINGEN AAF	26.2333	-97.6667	10.7				12904	1942.0	1945.0	True	18.5		0-20300-0-12904	IGRA2	harlingen	23.7	26.1902778	-97.6958333	USW00012904																					inconsistentCoordinates
0	0		MISSION (MOORE FIELD)	26.4	-98.35	61.6				12908	1942.0	1945.0	True	69.8		0-20300-0-12908	IGRA2	harlingen	23.7	26.1902778	-97.6958333	USW00012908																					inconsistentCoordinates
0	0		RAYMONDVILLE	26.53	-97.68	10.0584				12937	19310401.0	19420228.0		14.7		0-20500-0-12937	WBAN	harlingen	23.7	26.1902778	-97.6958333																						inconsistentCoordinates
1	1		HARLINGEN RIO GRANDE	26.23	-97.65	10.972800000000001				12904	19961125.0	99991231.0		18.8		0-20500-0-12904	WBAN	harlingen	23.7	26.1902778	-97.6958333																						inconsistentCoordinates
2	2		HARLINGEN RIO GRANDE	26.23	-97.67	10.668000000000001				12904	19520701.0	19620630.0		18.9		0-20500-0-12904	WBAN	harlingen	23.7	26.1902778	-97.6958333																						inconsistentCoordinates
3	3		HARLINGEN RIO GRANDE	26.23	-97.67	10.668000000000001				12904	19420301.0	19460131.0		18.9		0-20500-0-12904	WBAN	harlingen	23.7	26.1902778	-97.6958333																						inconsistentCoordinates
4	4		HARLINGEN RIO GRANDE	26.22	-97.67	10.668000000000001				12904	19750210.0	19760501.0		20.0		0-20500-0-12904	WBAN	harlingen	23.7	26.1902778	-97.6958333																						inconsistentCoordinates
5	5		HARLINGEN RIO GRANDE	26.22	-97.67	10.668000000000001				12904	19700101.0	19750210.0		20.0		0-20500-0-12904	WBAN	harlingen	23.7	26.1902778	-97.6958333																						inconsistentCoordinates
6	6		HARLINGEN RIO GRANDE	26.22	-97.67	22.555200000000003				12904	19760501.0	19930101.0		20.0		0-20500-0-12904	WBAN	harlingen	23.7	26.1902778	-97.6958333																						inconsistentCoordinates
7	7		HARLINGEN RIO GRANDE	26.22	-97.67	10.668000000000001				12904	19671221.0	19700101.0		20.0		0-20500-0-12904	WBAN	harlingen	23.7	26.1902778	-97.6958333																						inconsistentCoordinates
8	8		HARLINGEN RIO GRANDE	26.22	-97.67	22.555200000000003				12904	19950101.0	19961125.0		20.0		0-20500-0-12904	WBAN	harlingen	23.7	26.1902778	-97.6958333																						inconsistentCoordinates
9	9		HARLINGEN RIO GRANDE	26.22	-97.67	22.555200000000003				12904	19930101.0	19950101.0		20.0		0-20500-0-12904	WBAN	harlingen	23.7	26.1902778	-97.6958333																						inconsistentCoordinates
