file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
C:4884	0000000000008180	BARCELONA,CMT	41.39055555555556	2.2		41 23 26N	002 12 00E	3.4	[41.37, 41.37]	[2.17, 2.17]	OSCAR	0-724-0-0000000000008180		0-724-0-0000000000008180	19231206	19231206	999	999	False	0-20000-0-08190	barcelona	[106, 107]
C:4884	08190	BARCELONA SERVEI	41.38444444444444	2.118055555555556		41 23 04N	002 07 05E	4.6	[41.37, 41.37]	[2.17, 2.17]	OSCAR	0-20000-0-08190		0-20000-0-08190	19231206	19231206	999	999	True	0-20000-0-08190	barcelona	[106, 107]
C:4884	08181	BARCELONA/AEROPUERTO	41.29277777777778	2.0700000000000003	5.0	41 17 34N	002 04 12E	12.0	[41.37, 41.37]	[2.17, 2.17]	OSCAR	0-20000-0-08181		0-20000-0-08181	19231206	19231206	999	999	False	0-20000-0-08190	barcelona	[106, 107]
C:4884	08179	CORBERA, PIC D'AGULLES	41.408055555555556	1.8847222222222222		41 24 29N	001 53 05E	24.2	[41.37, 41.37]	[2.17, 2.17]	OSCAR	0-20000-0-08179		0-20000-0-08179	19231206	19231206	999	999	False	0-20000-0-08190	barcelona	[106, 107]
C:4884	08190	BARCELONA SERVEI	41.3844	2.1181	95.0			4.6	[41.37, 41.37]	[2.17, 2.17]	IGRA2			0-20300-0-08190	19231206	19231206	2007	2021	True	0-20000-0-08190	barcelona	[106, 107]
C:4884									[41.37, 41.37]	[2.17, 2.17]	WBAN			0-20500-0-nan	19231206	19231206				0-20000-0-08190	barcelona	[106, 107]
C:4884	4884	Barcelona	41.37	2.17	42			0.0	[41.37, 41.37]	[2.17, 2.17]	CHUAN		-999	0-20400-0-4884	19231206	19231206	-999-999	-999-999		0-20000-0-08190	barcelona	[106, 107]
C:4884	6109	Badajoz	41.38	2.17	25			1.1	[41.37, 41.37]	[2.17, 2.17]	CHUAN		-999	0-20400-0-6109	19231206	19231206	-999-999	-999-999		0-20000-0-08190	barcelona	[106, 107]
C:4884	5639	Barcelona	41.38	2.17	25			1.1	[41.37, 41.37]	[2.17, 2.17]	CHUAN		-999	0-20400-0-5639	19231206	19231206	-999-999	-999-999		0-20000-0-08190	barcelona	[106, 107]
C:4884	6069	Barcelona	41.38	2.18	13			1.4	[41.37, 41.37]	[2.17, 2.17]	CHUAN		-999	0-20400-0-6069	19231206	19231206	-999-999	-999-999		0-20000-0-08190	barcelona	[106, 107]
C:4884	8180	(assigned station ID) Barcelona - Plaza Urquinaona, Spain	41.3887	2.1729	-999			2.1	[41.37, 41.37]	[2.17, 2.17]	SCHROEDER		8180	0-20600-0-8180	19231206	19231206				0-20000-0-08190	barcelona	[106, 107]
C:4884	8190	Barcelona - Servei Meteorologic de Catalunya, 08028 Barcelona, Spain	41.38	2.12	-999			4.3	[41.37, 41.37]	[2.17, 2.17]	SCHROEDER		8190	0-20600-0-8190	19231206	19231206				0-20000-0-08190	barcelona	[106, 107]
C:4884	8181	Barcelona AP - El Prat de Llobregat, Spain	41.3	2.08	-999			10.8	[41.37, 41.37]	[2.17, 2.17]	SCHROEDER		8181	0-20600-0-8181	19231206	19231206				0-20000-0-08190	barcelona	[106, 107]
C:4884	08180	BARCELONA                	41.4	2.15	-999.0			3.7	[41.37, 41.37]	[2.17, 2.17]	WMO		08180	0-20700-0-08180	19231206	19231206				0-20000-0-08190	barcelona	[106, 107]
C:4884	08181	BARCELONA/AEROPUERTO     	41.28333333333333	2.066666666666667	-999.0			12.9	[41.37, 41.37]	[2.17, 2.17]	WMO		08181	0-20700-0-08181	19231206	19231206				0-20000-0-08190	barcelona	[106, 107]
C:4884	08179	CORBERA ,PIC D'AGULLES   	41.4	1.8833333333333333	-999.0			24.2	[41.37, 41.37]	[2.17, 2.17]	WMO		08179	0-20700-0-08179	19231206	19231206				0-20000-0-08190	barcelona	[106, 107]
