file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
C:5071	07510	BORDEAUX MERIGNAC	44.830555555555556	-0.6913888888888889	48.0	44 49 50N	000 41 29W	0.7	[44.83, 44.83]	[-0.7, -0.7]	OSCAR	0-20000-0-07510		0-20000-0-07510	19280331	19280331	999	999	True	0-20000-0-07510	pessac	[106, 107]
C:5071	07510	BORDEAUX MERIGNAC	44.8306	-0.6914	51.0			0.7	[44.83, 44.83]	[-0.7, -0.7]	IGRA2			0-20300-0-07510	19280331	19280331	1920	2020	True	0-20000-0-07510	pessac	[106, 107]
C:5071	14008	BORDEAUX	44.83	-0.72	48.1584			1.6	[44.83, 44.83]	[-0.7, -0.7]	WBAN			0-20500-0-14008	19280331	19280331	19520501	19571130		0-20000-0-07510	pessac	[106, 107]
C:5071	5071	Bordeaux	44.83	-0.7	48			0.0	[44.83, 44.83]	[-0.7, -0.7]	CHUAN		-999	0-20400-0-5071	19280331	19280331	-999-999	-999-999		0-20000-0-07510	pessac	[106, 107]
C:5071	8048	Bordeaux-Mérignac	44.831	-0.691	47			0.7	[44.83, 44.83]	[-0.7, -0.7]	CHUAN		07510	0-20400-0-8048	19280331	19280331	192011	-999-999		0-20000-0-07510	pessac	[106, 107]
C:5071	4321	Bordeaux-Mérignac	44.831	-0.691	47			0.7	[44.83, 44.83]	[-0.7, -0.7]	CHUAN		07510	0-20400-0-4321	19280331	19280331	192011	-999-999		0-20000-0-07510	pessac	[106, 107]
C:5071	4323	Bordeaux-Mérignac	44.831	-0.691	47			0.7	[44.83, 44.83]	[-0.7, -0.7]	CHUAN		07510	0-20400-0-4323	19280331	19280331	192011	-999-999		0-20000-0-07510	pessac	[106, 107]
C:5071	4324	Bordeaux-Mérignac	44.831	-0.691	47			0.7	[44.83, 44.83]	[-0.7, -0.7]	CHUAN		07510	0-20400-0-4324	19280331	19280331	192011	-999-999		0-20000-0-07510	pessac	[106, 107]
C:5071	4325	Bordeaux-Mérignac	44.831	-0.691	47			0.7	[44.83, 44.83]	[-0.7, -0.7]	CHUAN		07510	0-20400-0-4325	19280331	19280331	192011	-999-999		0-20000-0-07510	pessac	[106, 107]
C:5071	4326	Bordeaux-Mérignac	44.831	-0.691	47			0.7	[44.83, 44.83]	[-0.7, -0.7]	CHUAN		07510	0-20400-0-4326	19280331	19280331	192011	-999-999		0-20000-0-07510	pessac	[106, 107]
C:5071	4505	Bordeaux-Mérignac	44.831	-0.691	47			0.7	[44.83, 44.83]	[-0.7, -0.7]	CHUAN		07510	0-20400-0-4505	19280331	19280331	192011	-999-999		0-20000-0-07510	pessac	[106, 107]
C:5071	4327	Bordeaux-Mérignac	44.831	-0.691	47			0.7	[44.83, 44.83]	[-0.7, -0.7]	CHUAN		07510	0-20400-0-4327	19280331	19280331	192011	-999-999		0-20000-0-07510	pessac	[106, 107]
C:5071	6028	Bordeaux-Mérignac	44.831	-0.691	47			0.7	[44.83, 44.83]	[-0.7, -0.7]	CHUAN		07510	0-20400-0-6028	19280331	19280331	192011	-999-999		0-20000-0-07510	pessac	[106, 107]
C:5071	6029	Bordeaux-Mérignac	44.831	-0.691	47			0.7	[44.83, 44.83]	[-0.7, -0.7]	CHUAN		07510	0-20400-0-6029	19280331	19280331	192011	-999-999		0-20000-0-07510	pessac	[106, 107]
C:5071	6030	Bordeaux-Mérignac	44.831	-0.691	47			0.7	[44.83, 44.83]	[-0.7, -0.7]	CHUAN		07510	0-20400-0-6030	19280331	19280331	192011	-999-999		0-20000-0-07510	pessac	[106, 107]
C:5071	6031	Bordeaux-Mérignac	44.831	-0.691	47			0.7	[44.83, 44.83]	[-0.7, -0.7]	CHUAN		07510	0-20400-0-6031	19280331	19280331	192011	-999-999		0-20000-0-07510	pessac	[106, 107]
