file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
C:5178	11567	PRAHA-KBELY	50.123333333333335	14.538055555555555	285.5	50 07 24N	014 32 17E	1.5	[50.13, 50.13]	[14.52, 14.52]	OSCAR	0-20000-0-11567		0-20000-0-11567	19250414	19250416	999	999	False	0-20000-0-11520	prague	[106, 107, 117]
C:5178	11519	PRAHA-KARLOV	50.06916666666667	14.427777777777777	254.0	50 04 09N	014 25 40E	9.5	[50.13, 50.13]	[14.52, 14.52]	OSCAR	0-20000-0-11519		0-20000-0-11519	19250414	19250416	999	999	False	0-20000-0-11520	prague	[106, 107, 117]
C:5178	11520	PRAHA-LIBUS	50.007777777777775	14.446944444444444	304.19	50 00 28N	014 26 49E	14.6	[50.13, 50.13]	[14.52, 14.52]	OSCAR	0-20000-0-11520		0-20000-0-11520	19250414	19250416	999	999	True	0-20000-0-11520	prague	[106, 107, 117]
C:5178	11518	PRAHA/RUZYNE	50.10027777777778	14.255555555555556	365.34	50 06 01N	014 15 20E	19.2	[50.13, 50.13]	[14.52, 14.52]	OSCAR	0-20000-0-11518		0-20000-0-11518	19250414	19250416	999	999	False	0-20000-0-11520	prague	[106, 107, 117]
C:5178	11520	PRAHA-LIBUS	50.0078	14.4469	302.0			14.6	[50.13, 50.13]	[14.52, 14.52]	IGRA2			0-20300-0-11520	19250414	19250416	1969	2021	True	0-20000-0-11520	prague	[106, 107, 117]
C:5178	11518	PRAHA/RUZYNE	50.1	14.2833	374.0			17.3	[50.13, 50.13]	[14.52, 14.52]	IGRA2			0-20300-0-11518	19250414	19250416	1949	1967	True	0-20000-0-11520	prague	[106, 107, 117]
C:5178									[50.13, 50.13]	[14.52, 14.52]	WBAN			0-20500-0-nan	19250414	19250416				0-20000-0-11520	prague	[106, 107, 117]
C:5178	5178	Kbely	50.13	14.52	200			0.0	[50.13, 50.13]	[14.52, 14.52]	CHUAN		-999	0-20400-0-5178	19250414	19250416	-999-999	-999-999		0-20000-0-11520	prague	[106, 107, 117]
C:5178	5727	Prag	50.1	14.28	300			17.5	[50.13, 50.13]	[14.52, 14.52]	CHUAN		-999	0-20400-0-5727	19250414	19250416	-999-999	-999-999		0-20000-0-11520	prague	[106, 107, 117]
C:5178	5239	Milovice	50.23	14.88	209			28.0	[50.13, 50.13]	[14.52, 14.52]	CHUAN		-999	0-20400-0-5239	19250414	19250416	-999-999	-999-999		0-20000-0-11520	prague	[106, 107, 117]
C:5178	11567	LKKB Prague (Kbely AP), Czechoslovakia	50.12	14.53	-999			1.3	[50.13, 50.13]	[14.52, 14.52]	SCHROEDER		11567	0-20600-0-11567	19250414	19250416				0-20000-0-11520	prague	[106, 107, 117]
C:5178	11520	Praha / Prague (Libus - Observator Ceskeho Hydrometeorologickeho Ustavu [Czech Hydrometeorological Institute Observatory]), Czechoslovakia	50.01	14.45	-999			14.3	[50.13, 50.13]	[14.52, 14.52]	SCHROEDER		11520	0-20600-0-11520	19250414	19250416				0-20000-0-11520	prague	[106, 107, 117]
C:5178	11518	LKPR Praha / Prague (Ruzyne AP), Czechoslovakia	50.1	14.28	-999			17.5	[50.13, 50.13]	[14.52, 14.52]	SCHROEDER		11518	0-20600-0-11518	19250414	19250416				0-20000-0-11520	prague	[106, 107, 117]
C:5178	11518	PRAGUE RUZINE AIRPORT   0	50.1	14.266666666666667	379.0			18.4	[50.13, 50.13]	[14.52, 14.52]	WMO		11518	0-20700-0-11518	19250414	19250416				0-20000-0-11520	prague	[106, 107, 117]
