,station,start,end,obs,lat,lon,rh,temp,u,v,rh_h,temp_h,u_h,v_h
0,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_AGM00060686.csv,2011-06-0112:00:00+00,2012-06-3018:00:00+00,2981,21.3333,0.95,,,,,,,,
1,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ASM00094653.csv,2004-06-2223:00:00+00,2023-02-1508:00:00+00,5956,-32.1297,133.697,,,,,,,,
2,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ASM00094238.csv,2012-03-1400:00:00+00,2012-11-2900:00:00+00,7580,-19.6422,134.183,,,,,,,,
3,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_AGM00060549.csv,1987-03-0112:00:00+00,2012-07-0912:00:00+00,44151,33.5333,-0.2833,,,,,,,,
4,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_AFM00040911.csv,2010-03-0100:00:00+00,2014-12-3121:00:00+00,51564,36.7,67.2,,,,,,,,
5,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_BEM00006496.csv,1999-02-1705:00:00+00,2021-03-2215:00:00+00,18230,50.4822,6.1814,,,,,,,,
6,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_BCM00068032.csv,1991-07-3012:00:00+00,2012-07-2200:00:00+00,10851,-19.9833,23.4167,,,,,,,,
7,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_BNM00065330.csv,2006-06-1918:00:00+00,2008-11-2112:00:00+00,27667,9.35,2.6167,,,,,,,,
8,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_AFM00040948.csv,1966-01-0700:00:00+00,2021-08-1400:00:00+00,443047,34.55,69.2167,,,,,,,,
9,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_AYM00089662.csv,1987-01-1300:00:00+00,2023-01-3112:00:00+00,103524,-74.6958,164.092,,,,,,,,
10,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_BCM00068240.csv,1986-10-0112:00:00+00,2011-10-2312:00:00+00,73274,-24.55,25.9167,,,,,,,,
11,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_AFM00040990.csv,1976-07-0300:00:00+00,2014-10-1400:00:00+00,97971,31.5,65.85,,,,,,,,
12,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_AYM00089625.csv,2006-04-2712:00:00+00,2023-05-0612:00:00+00,101741,-75.1017,123.412,,,,,,,,
