file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
2:33023	60393	DAR EL BEIDA VILLE	36.7	3.2		36 42 00N	003 12 00E	3.5	[36.72, 36.72]	[3.23, 3.23]	OSCAR	0-20000-0-60393		0-20000-0-60393	19430401	19460108	999	999	False	0-20000-0-60390	algiers	[106, 107]
2:33023	60390	DAR-EL-BEIDA	36.69	3.216666666666667	29.0	36 41 24N	003 13 00E	3.5	[36.72, 36.72]	[3.23, 3.23]	OSCAR	0-20000-0-60390		0-20000-0-60390	19430401	19460108	999	999	True	0-20000-0-60390	algiers	[106, 107]
2:33023	60381	EL HARRACH	36.71666666666667	3.15	51.0	36 43 00N	003 09 00E	7.2	[36.72, 36.72]	[3.23, 3.23]	OSCAR	0-20000-0-60381		0-20000-0-60381	19430401	19460108	999	999	False	0-20000-0-60390	algiers	[106, 107]
2:33023	60376	BORDJ EL BAHRI	36.78333333333333	3.25		36 47 00N	003 15 00E	7.3	[36.72, 36.72]	[3.23, 3.23]	OSCAR	0-20000-0-60376		0-20000-0-60376	19430401	19460108	999	999	False	0-20000-0-60390	algiers	[106, 107]
2:33023	60379	REGHAIA	36.766666666666666	3.3333333333333335		36 46 00N	003 20 00E	10.6	[36.72, 36.72]	[3.23, 3.23]	OSCAR	0-20000-0-60379		0-20000-0-60379	19430401	19460108	999	999	False	0-20000-0-60390	algiers	[106, 107]
2:33023	60370	KOUBA	36.71666666666667	3.1		36 43 00N	003 06 00E	11.6	[36.72, 36.72]	[3.23, 3.23]	OSCAR	0-20000-0-60370		0-20000-0-60370	19430401	19460108	999	999	False	0-20000-0-60390	algiers	[106, 107]
2:33023	60394	BARAKI	36.68333333333333	3.1		36 41 00N	003 06 00E	12.3	[36.72, 36.72]	[3.23, 3.23]	OSCAR	0-20000-0-60394		0-20000-0-60394	19430401	19460108	999	999	False	0-20000-0-60390	algiers	[106, 107]
2:33023	60369	ALGER-PORT	36.766666666666666	3.1	12.0	36 46 00N	003 06 00E	12.7	[36.72, 36.72]	[3.23, 3.23]	OSCAR	0-20000-0-60369		0-20000-0-60369	19430401	19460108	999	999	False	0-20000-0-60390	algiers	[106, 107]
2:33023	60371	OUED KORICHE	36.78333333333333	3.033333333333333		36 47 00N	003 02 00E	18.9	[36.72, 36.72]	[3.23, 3.23]	OSCAR	0-20000-0-60371		0-20000-0-60371	19430401	19460108	999	999	False	0-20000-0-60390	algiers	[106, 107]
2:33023	60372	BOUZAREAH	36.78333333333333	3.0		36 47 00N	003 00 00E	21.7	[36.72, 36.72]	[3.23, 3.23]	OSCAR	0-20000-0-60372		0-20000-0-60372	19430401	19460108	999	999	False	0-20000-0-60390	algiers	[106, 107]
2:33023	60390	DAR-EL-BEIDA	36.6833	3.2167	25.0			4.2	[36.72, 36.72]	[3.23, 3.23]	IGRA2			0-20300-0-60390	19430401	19460108	1948	2021	True	0-20000-0-60390	algiers	[106, 107]
2:33023	04843	ALGER	36.77	3.05	50.0			17.0	[36.72, 36.72]	[3.23, 3.23]	IGRA2			0-20300-0-04843	19430401	19460108	1930	1938	True	0-20000-0-60390	algiers	[106, 107]
2:33023	33023	MAISON BLANCHE	36.72	3.23	23.1648			0.0	[36.72, 36.72]	[3.23, 3.23]	WBAN			0-20500-0-33023	19430401	19460108	19430401	19460131		0-20000-0-60390	algiers	[106, 107]
2:33023	33045	ALGIERS	36.77	3.08	142.0368			14.5	[36.72, 36.72]	[3.23, 3.23]	WBAN			0-20500-0-33045	19430401	19460108	19430401	19440531		0-20000-0-60390	algiers	[106, 107]
2:33023	33002	REGHAIA	36.77	3.4	34.1376			16.2	[36.72, 36.72]	[3.23, 3.23]	WBAN			0-20500-0-33002	19430401	19460108	19430901	19451031		0-20000-0-60390	algiers	[106, 107]
2:33023	33005	ALGIERS	36.77	3.05	48.1584			17.0	[36.72, 36.72]	[3.23, 3.23]	WBAN			0-20500-0-33005	19430401	19460108	19430301	19430831		0-20000-0-60390	algiers	[106, 107]
2:33023	6080	Alger	36.67	3.1	20			12.9	[36.72, 36.72]	[3.23, 3.23]	CHUAN		-999	0-20400-0-6080	19430401	19460108	-999-999	-999-999		0-20000-0-60390	algiers	[106, 107]
2:33023	4843	Alger	36.77	3.05	50			17.0	[36.72, 36.72]	[3.23, 3.23]	CHUAN		-999	0-20400-0-4843	19430401	19460108	-999-999	-999-999		0-20000-0-60390	algiers	[106, 107]
2:33023	5033	Alger	36.77	3.05	3			17.0	[36.72, 36.72]	[3.23, 3.23]	CHUAN		-999	0-20400-0-5033	19430401	19460108	-999-999	-999-999		0-20000-0-60390	algiers	[106, 107]
2:33023	60390	Algiers (Maison Blanche / Dar El Beida), Algeria	36.72	3.23	-999			0.0	[36.72, 36.72]	[3.23, 3.23]	SCHROEDER		60390	0-20600-0-60390	19430401	19460108				0-20000-0-60390	algiers	[106, 107]
2:33023	60390	ALGER/DAR EL BEIDA       	36.71666666666667	3.25	-999.0			1.8	[36.72, 36.72]	[3.23, 3.23]	WMO		60390	0-20700-0-60390	19430401	19460108				0-20000-0-60390	algiers	[106, 107]
