file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
1:60390	60390	DAR-EL-BEIDA	36.69	3.216666666666667	29.0	36 41 24N	003 13 00E	1.9	[36.72, 36.7]	[3.25, 3.2]	OSCAR	0-20000-0-60390		0-20000-0-60390	19490101	19791231	999	999	True	0-20000-0-60390	algiers	[38, 85, 106, 107, 117]
1:60390	60393	DAR EL BEIDA VILLE	36.7	3.2		36 42 00N	003 12 00E	0.0	[36.72, 36.7]	[3.25, 3.2]	OSCAR	0-20000-0-60393		0-20000-0-60393	19490101	19791231	999	999	False	0-20000-0-60390	algiers	[38, 85, 106, 107, 117]
1:60390	60381	EL HARRACH	36.71666666666667	3.15	51.0	36 43 00N	003 09 00E	4.8	[36.72, 36.7]	[3.25, 3.2]	OSCAR	0-20000-0-60381		0-20000-0-60381	19490101	19791231	999	999	False	0-20000-0-60390	algiers	[38, 85, 106, 107, 117]
1:60390	60394	BARAKI	36.68333333333333	3.1		36 41 00N	003 06 00E	9.1	[36.72, 36.7]	[3.25, 3.2]	OSCAR	0-20000-0-60394		0-20000-0-60394	19490101	19791231	999	999	False	0-20000-0-60390	algiers	[38, 85, 106, 107, 117]
1:60390	60370	KOUBA	36.71666666666667	3.1		36 43 00N	003 06 00E	9.1	[36.72, 36.7]	[3.25, 3.2]	OSCAR	0-20000-0-60370		0-20000-0-60370	19490101	19791231	999	999	False	0-20000-0-60390	algiers	[38, 85, 106, 107, 117]
1:60390	60376	BORDJ EL BAHRI	36.78333333333333	3.25		36 47 00N	003 15 00E	10.3	[36.72, 36.7]	[3.25, 3.2]	OSCAR	0-20000-0-60376		0-20000-0-60376	19490101	19791231	999	999	False	0-20000-0-60390	algiers	[38, 85, 106, 107, 117]
1:60390	60369	ALGER-PORT	36.766666666666666	3.1	12.0	36 46 00N	003 06 00E	11.6	[36.72, 36.7]	[3.25, 3.2]	OSCAR	0-20000-0-60369		0-20000-0-60369	19490101	19791231	999	999	False	0-20000-0-60390	algiers	[38, 85, 106, 107, 117]
1:60390	60379	REGHAIA	36.766666666666666	3.3333333333333335		36 46 00N	003 20 00E	14.0	[36.72, 36.7]	[3.25, 3.2]	OSCAR	0-20000-0-60379		0-20000-0-60379	19490101	19791231	999	999	False	0-20000-0-60390	algiers	[38, 85, 106, 107, 117]
1:60390	60371	OUED KORICHE	36.78333333333333	3.033333333333333		36 47 00N	003 02 00E	17.5	[36.72, 36.7]	[3.25, 3.2]	OSCAR	0-20000-0-60371		0-20000-0-60371	19490101	19791231	999	999	False	0-20000-0-60390	algiers	[38, 85, 106, 107, 117]
1:60390	60372	BOUZAREAH	36.78333333333333	3.0		36 47 00N	003 00 00E	20.1	[36.72, 36.7]	[3.25, 3.2]	OSCAR	0-20000-0-60372		0-20000-0-60372	19490101	19791231	999	999	False	0-20000-0-60390	algiers	[38, 85, 106, 107, 117]
1:60390	60380	TESSALA EL MERDJA	36.61666666666667	2.9166666666666665		36 37 00N	002 55 00E	27.0	[36.72, 36.7]	[3.25, 3.2]	OSCAR	0-20000-0-60380		0-20000-0-60380	19490101	19791231	999	999	False	0-20000-0-60390	algiers	[38, 85, 106, 107, 117]
1:60390	60374	AIN BENAIN	36.78333333333333	2.8833333333333333		36 47 00N	002 53 00E	29.8	[36.72, 36.7]	[3.25, 3.2]	OSCAR	0-20000-0-60374		0-20000-0-60374	19490101	19791231	999	999	False	0-20000-0-60390	algiers	[38, 85, 106, 107, 117]
1:60390	60390	DAR-EL-BEIDA	36.6833	3.2167	25.0			2.4	[36.72, 36.7]	[3.25, 3.2]	IGRA2			0-20300-0-60390	19490101	19791231	1948	2021	True	0-20000-0-60390	algiers	[38, 85, 106, 107, 117]
1:60390	04843	ALGER	36.77	3.05	50.0			15.5	[36.72, 36.7]	[3.25, 3.2]	IGRA2			0-20300-0-04843	19490101	19791231	1930	1938	True	0-20000-0-60390	algiers	[38, 85, 106, 107, 117]
1:60390	33023	MAISON BLANCHE	36.72	3.23	23.1648			3.5	[36.72, 36.7]	[3.25, 3.2]	WBAN			0-20500-0-33023	19490101	19791231	19430401	19460131		0-20000-0-60390	algiers	[38, 85, 106, 107, 117]
1:60390	33045	ALGIERS	36.77	3.08	142.0368			13.2	[36.72, 36.7]	[3.25, 3.2]	WBAN			0-20500-0-33045	19490101	19791231	19430401	19440531		0-20000-0-60390	algiers	[38, 85, 106, 107, 117]
1:60390	33005	ALGIERS	36.77	3.05	48.1584			15.5	[36.72, 36.7]	[3.25, 3.2]	WBAN			0-20500-0-33005	19490101	19791231	19430301	19430831		0-20000-0-60390	algiers	[38, 85, 106, 107, 117]
1:60390	33002	REGHAIA	36.77	3.4	34.1376			19.5	[36.72, 36.7]	[3.25, 3.2]	WBAN			0-20500-0-33002	19490101	19791231	19430901	19451031		0-20000-0-60390	algiers	[38, 85, 106, 107, 117]
1:60390	6080	Alger	36.67	3.1	20			9.5	[36.72, 36.7]	[3.25, 3.2]	CHUAN		-999	0-20400-0-6080	19490101	19791231	-999-999	-999-999		0-20000-0-60390	algiers	[38, 85, 106, 107, 117]
1:60390	4843	Alger	36.77	3.05	50			15.5	[36.72, 36.7]	[3.25, 3.2]	CHUAN		-999	0-20400-0-4843	19490101	19791231	-999-999	-999-999		0-20000-0-60390	algiers	[38, 85, 106, 107, 117]
1:60390	5033	Alger	36.77	3.05	3			15.5	[36.72, 36.7]	[3.25, 3.2]	CHUAN		-999	0-20400-0-5033	19490101	19791231	-999-999	-999-999		0-20000-0-60390	algiers	[38, 85, 106, 107, 117]
1:60390	60390	Algiers (Maison Blanche / Dar El Beida), Algeria	36.72	3.23	-999			3.5	[36.72, 36.7]	[3.25, 3.2]	SCHROEDER		60390	0-20600-0-60390	19490101	19791231				0-20000-0-60390	algiers	[38, 85, 106, 107, 117]
1:60390	60390	ALGER/DAR EL BEIDA       	36.71666666666667	3.25	-999.0			4.8	[36.72, 36.7]	[3.25, 3.2]	WMO		60390	0-20700-0-60390	19490101	19791231				0-20000-0-60390	algiers	[38, 85, 106, 107, 117]
