level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-41316	SALALAH AIRPORT	17.034722222222225	54.07361111111111	23.0	Climatological station, Upper-air / Radiosonde station, Surface land meteorological station (SYNOP), CLIMAT(C), GOS, GSN, RBSN(ST), RBCN	17 02 05N	054 04 25E	41316	999.0	999.0	True	3.3		OSCAR	0-20000-0-41316	salalah	4.0	17.0175	54.0827778						[17.05, 17.05]	[54.1, 54.1]	era5.1759.conv.2:31501	era5_1759	19430411	19450512	2:31501	0-20000-0-41316	[106, 107]
1	1	0-20000-0-41312	MINA SALALAH	16.934444444444445	54.00833333333333	25.0	Surface land meteorological station (SYNOP), GOS	16 56 04N	054 00 30E	41312	999.0	999.0	False	16.1		OSCAR	0-20000-0-41312	salalah	4.0	17.0175	54.0827778						[17.05, 17.05]	[54.1, 54.1]	era5.1759.conv.2:31501	era5_1759	19430411	19450512	2:31501	0-20000-0-41316	[106, 107]
2	2	0-20000-0-41315	QAIROON HAIRITI	17.252777777777776	54.08916666666667	881.0	Surface land meteorological station (SYNOP), GOS	17 15 10N	054 05 21E	41315	999.0	999.0	False	22.5		OSCAR	0-20000-0-41315	salalah	4.0	17.0175	54.0827778						[17.05, 17.05]	[54.1, 54.1]	era5.1759.conv.2:31501	era5_1759	19430411	19450512	2:31501	0-20000-0-41316	[106, 107]
3	3	0-20000-0-41307	TAQAH	17.041944444444447	54.35166666666667		Agricultural meteorological station, Automatic weather station (AWS), Climatological station, Surface land meteorological station (SYNOP), GOS	17 02 31N	054 21 06E	41307	999.0	999.0	False	26.8		OSCAR	0-20000-0-41307	salalah	4.0	17.0175	54.0827778						[17.05, 17.05]	[54.1, 54.1]	era5.1759.conv.2:31501	era5_1759	19430411	19450512	2:31501	0-20000-0-41316	[106, 107]
0	0		SALALAH AIRPORT	17.0439	54.1022	23.0				41316	1973.0	2021.0	True	0.7		IGRA2	0-20300-0-41316	salalah	4.0	17.0175	54.0827778	MUM00041316					[17.05, 17.05]	[54.1, 54.1]	era5.1759.conv.2:31501	era5_1759	19430411	19450512	2:31501	0-20000-0-41316	[106, 107]
0	0		SALALAH	17.05	54.1	17.0688				31501	19430401.0	19450531.0		0.0		WBAN	0-20500-0-31501	salalah	4.0	17.0175	54.0827778						[17.05, 17.05]	[54.1, 54.1]	era5.1759.conv.2:31501	era5_1759	19430411	19450512	2:31501	0-20000-0-41316	[106, 107]
0	0															CHUAN	0-20400-0-nan	salalah	4.0	17.0175	54.0827778						[17.05, 17.05]	[54.1, 54.1]	era5.1759.conv.2:31501	era5_1759	19430411	19450512	2:31501	0-20000-0-41316	[106, 107]
0	0		OOSA Salalah AP, Muscat	17.05	54.1	-999.0				40575				0.0		SCHROEDER	0-20600-0-40575	salalah	4.0	17.0175	54.0827778		40575	970.0	1973-01-04 00:00:00	1981-03-30 00:00:00	[17.05, 17.05]	[54.1, 54.1]	era5.1759.conv.2:31501	era5_1759	19430411	19450512	2:31501	0-20000-0-41316	[106, 107]
1	1		Salalah, Oman	17.03	54.08	-999.0				41316				3.1		SCHROEDER	0-20600-0-41316	salalah	4.0	17.0175	54.0827778		41316	1009.0	1983-07-30 00:00:00	2005-01-26 00:00:00	[17.05, 17.05]	[54.1, 54.1]	era5.1759.conv.2:31501	era5_1759	19430411	19450512	2:31501	0-20000-0-41316	[106, 107]
0	0		SALALAH                  	17.033333333333335	54.083333333333336	-999.0				41316				2.6		WMO	0-20700-0-41316	salalah	4.0	17.0175	54.0827778		41316	2031.0			[17.05, 17.05]	[54.1, 54.1]	era5.1759.conv.2:31501	era5_1759	19430411	19450512	2:31501	0-20000-0-41316	[106, 107]
