level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	WIGOS_calc	inventory	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0																OSCAR	harlingen	5.1	26.1902778	-97.6958333						[26.23, 26.23]	[-97.67, -97.67]	era5.1759.conv.2:12904	era5_1759	19420509	19460123	2:12904	0-20300-0-12904	[106, 107]
0	0		HARLINGEN AAF	26.2333	-97.6667	10.7				12904	1942.0	1945.0	True	0.5		0-20300-0-12904	IGRA2	harlingen	5.1	26.1902778	-97.6958333	USW00012904					[26.23, 26.23]	[-97.67, -97.67]	era5.1759.conv.2:12904	era5_1759	19420509	19460123	2:12904	0-20300-0-12904	[106, 107]
0	0		HARLINGEN RIO GRANDE	26.23	-97.67	10.668000000000001				12904	19520701.0	19620630.0		0.0		0-20500-0-12904	WBAN	harlingen	5.1	26.1902778	-97.6958333						[26.23, 26.23]	[-97.67, -97.67]	era5.1759.conv.2:12904	era5_1759	19420509	19460123	2:12904	0-20300-0-12904	[106, 107]
1	1		HARLINGEN RIO GRANDE	26.23	-97.67	10.668000000000001				12904	19420301.0	19460131.0		0.0		0-20500-0-12904	WBAN	harlingen	5.1	26.1902778	-97.6958333						[26.23, 26.23]	[-97.67, -97.67]	era5.1759.conv.2:12904	era5_1759	19420509	19460123	2:12904	0-20300-0-12904	[106, 107]
2	2		HARLINGEN RIO GRANDE	26.22	-97.67	22.555200000000003				12904	19930101.0	19950101.0		1.1		0-20500-0-12904	WBAN	harlingen	5.1	26.1902778	-97.6958333						[26.23, 26.23]	[-97.67, -97.67]	era5.1759.conv.2:12904	era5_1759	19420509	19460123	2:12904	0-20300-0-12904	[106, 107]
3	3		HARLINGEN RIO GRANDE	26.22	-97.67	22.555200000000003				12904	19950101.0	19961125.0		1.1		0-20500-0-12904	WBAN	harlingen	5.1	26.1902778	-97.6958333						[26.23, 26.23]	[-97.67, -97.67]	era5.1759.conv.2:12904	era5_1759	19420509	19460123	2:12904	0-20300-0-12904	[106, 107]
4	4		HARLINGEN RIO GRANDE	26.22	-97.67	10.668000000000001				12904	19671221.0	19700101.0		1.1		0-20500-0-12904	WBAN	harlingen	5.1	26.1902778	-97.6958333						[26.23, 26.23]	[-97.67, -97.67]	era5.1759.conv.2:12904	era5_1759	19420509	19460123	2:12904	0-20300-0-12904	[106, 107]
5	5		HARLINGEN RIO GRANDE	26.22	-97.67	22.555200000000003				12904	19760501.0	19930101.0		1.1		0-20500-0-12904	WBAN	harlingen	5.1	26.1902778	-97.6958333						[26.23, 26.23]	[-97.67, -97.67]	era5.1759.conv.2:12904	era5_1759	19420509	19460123	2:12904	0-20300-0-12904	[106, 107]
6	6		HARLINGEN RIO GRANDE	26.22	-97.67	10.668000000000001				12904	19750210.0	19760501.0		1.1		0-20500-0-12904	WBAN	harlingen	5.1	26.1902778	-97.6958333						[26.23, 26.23]	[-97.67, -97.67]	era5.1759.conv.2:12904	era5_1759	19420509	19460123	2:12904	0-20300-0-12904	[106, 107]
7	7		HARLINGEN RIO GRANDE	26.22	-97.67	10.668000000000001				12904	19700101.0	19750210.0		1.1		0-20500-0-12904	WBAN	harlingen	5.1	26.1902778	-97.6958333						[26.23, 26.23]	[-97.67, -97.67]	era5.1759.conv.2:12904	era5_1759	19420509	19460123	2:12904	0-20300-0-12904	[106, 107]
8	8		HARLINGEN RIO GRANDE	26.23	-97.65	10.972800000000001				12904	19961125.0	99991231.0		2.0		0-20500-0-12904	WBAN	harlingen	5.1	26.1902778	-97.6958333						[26.23, 26.23]	[-97.67, -97.67]	era5.1759.conv.2:12904	era5_1759	19420509	19460123	2:12904	0-20300-0-12904	[106, 107]
0	0															0-20400-0-nan	CHUAN	harlingen	5.1	26.1902778	-97.6958333						[26.23, 26.23]	[-97.67, -97.67]	era5.1759.conv.2:12904	era5_1759	19420509	19460123	2:12904	0-20300-0-12904	[106, 107]
0	0															0-20600-0-nan	SCHROEDER	harlingen	5.1	26.1902778	-97.6958333						[26.23, 26.23]	[-97.67, -97.67]	era5.1759.conv.2:12904	era5_1759	19420509	19460123	2:12904	0-20300-0-12904	[106, 107]
0	0															0-20700-0-nan	WMO	harlingen	5.1	26.1902778	-97.6958333						[26.23, 26.23]	[-97.67, -97.67]	era5.1759.conv.2:12904	era5_1759	19420509	19460123	2:12904	0-20300-0-12904	[106, 107]
