file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
62721	62721	KHARTOUM	15.6	32.55	380.0	15 36 00N	032 33 00E	0.0	[15.6, 15.6]	[32.55, 32.55]	OSCAR	0-20000-0-62721		0-20000-0-62721	19790101	20140503	999	999	True	0-20000-0-62721	khartoum	[36, 38, 39, 85, 104, 105, 106, 107, 117]
62721	62721	WADI SEDNA	15.5	32.32		15 30 00N	032 19 12E	27.0	[15.6, 15.6]	[32.55, 32.55]	OSCAR	0-729-0-62721		0-729-0-62721	19790101	20140503	999	999	False	0-20000-0-62721	khartoum	[36, 38, 39, 85, 104, 105, 106, 107, 117]
62721	62723	SHAMBAT OBSERVATORY	15.666666666666666	32.53333333333333	380.0	15 40 00N	032 32 00E	7.6	[15.6, 15.6]	[32.55, 32.55]	OSCAR	0-20000-0-62723		0-20000-0-62723	19790101	20140503	999	999	False	0-20000-0-62721	khartoum	[36, 38, 39, 85, 104, 105, 106, 107, 117]
62721	62725	Bahri University	15.45	32.472500000000004		15 27 00N	032 28 21E	18.6	[15.6, 15.6]	[32.55, 32.55]	OSCAR	0-729-0-62725		0-729-0-62725	19790101	20140503	999	999	False	0-20000-0-62721	khartoum	[36, 38, 39, 85, 104, 105, 106, 107, 117]
62721	62721	KHARTOUM	15.6	32.55	382.0			0.0	[15.6, 15.6]	[32.55, 32.55]	IGRA2			0-20300-0-62721	19790101	20140503	1953	2014	True	0-20000-0-62721	khartoum	[36, 38, 39, 85, 104, 105, 106, 107, 117]
62721	04936	AL-KHARTUM	15.58	32.55	388.0			2.2	[15.6, 15.6]	[32.55, 32.55]	IGRA2			0-20300-0-04936	19790101	20140503	1932	1954	True	0-20000-0-62721	khartoum	[36, 38, 39, 85, 104, 105, 106, 107, 117]
62721	31308	KHARTOOM ARID FARMER	15.6	32.55	380.0856			0.0	[15.6, 15.6]	[32.55, 32.55]	WBAN			0-20500-0-31308	19790101	20140503	19831027	99991231		0-20000-0-62721	khartoum	[36, 38, 39, 85, 104, 105, 106, 107, 117]
62721	31309	UNKNOWN	15.75	32.48	396.24			18.2	[15.6, 15.6]	[32.55, 32.55]	WBAN			0-20500-0-31309	19790101	20140503	19830814	99991231		0-20000-0-62721	khartoum	[36, 38, 39, 85, 104, 105, 106, 107, 117]
62721	31303	KHARTOUM	15.83	32.53	384.048			25.5	[15.6, 15.6]	[32.55, 32.55]	WBAN			0-20500-0-31303	19790101	20140503	19421101	19450731		0-20000-0-62721	khartoum	[36, 38, 39, 85, 104, 105, 106, 107, 117]
62721	4968	Khartoum	15.6	32.55	381			0.0	[15.6, 15.6]	[32.55, 32.55]	CHUAN		-999	0-20400-0-4968	19790101	20140503	-999-999	-999-999		0-20000-0-62721	khartoum	[36, 38, 39, 85, 104, 105, 106, 107, 117]
62721	5777	Khartoum	15.6	32.55	381			0.0	[15.6, 15.6]	[32.55, 32.55]	CHUAN		-999	0-20400-0-5777	19790101	20140503	-999-999	-999-999		0-20000-0-62721	khartoum	[36, 38, 39, 85, 104, 105, 106, 107, 117]
62721	4936	al-Khartum	15.58	32.55	388			2.2	[15.6, 15.6]	[32.55, 32.55]	CHUAN		-999	0-20400-0-4936	19790101	20140503	-999-999	-999-999		0-20000-0-62721	khartoum	[36, 38, 39, 85, 104, 105, 106, 107, 117]
62721	62721	Khartoum, Sudan	15.62	32.53	-999			3.1	[15.6, 15.6]	[32.55, 32.55]	SCHROEDER		62721	0-20600-0-62721	19790101	20140503				0-20000-0-62721	khartoum	[36, 38, 39, 85, 104, 105, 106, 107, 117]
62721	62721	KHARTOUM                 	15.6	32.55	382.0			0.0	[15.6, 15.6]	[32.55, 32.55]	WMO		62721	0-20700-0-62721	19790101	20140503				0-20000-0-62721	khartoum	[36, 38, 39, 85, 104, 105, 106, 107, 117]
