level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-40340	AQABA AIRPORT	29.55	35.0	51.0	Surface land meteorological station (SYNOP), GOS	29 33 00N	035 00 00E	40340	999.0	999.0	False	9.1		OSCAR	0-20000-0-40340	elat	10.6	29.558049	34.948212						[29.63, 29.63]	[35.02, 35.02]	era5.conv._40340	era5_1	19790909	19791202	40340	0-20000-0-40340	[36, 38, 39, 85, 104, 105, 106, 107, 117]
1	2	0-20000-0-40199	EILAT	29.55	34.95	20.0	Climatological station, Surface land meteorological station (SYNOP), GSN, RBSN(S), GOS, CLIMAT(C), RBCN	29 33 00N	034 57 00E	40199	999.0	999.0	False	11.2		OSCAR	0-20000-0-40199	elat	10.6	29.558049	34.948212						[29.63, 29.63]	[35.02, 35.02]	era5.conv._40340	era5_1	19790909	19791202	40340	0-20000-0-40340	[36, 38, 39, 85, 104, 105, 106, 107, 117]
2	3	0-20000-0-40369	HAQL	29.5	35.0	2.0	Surface land meteorological station (SYNOP), GOS, RBSN(S)	29 30 00N	035 00 00E	40369	999.0	999.0	False	14.5		OSCAR	0-20000-0-40369	elat	10.6	29.558049	34.948212						[29.63, 29.63]	[35.02, 35.02]	era5.conv._40340	era5_1	19790909	19791202	40340	0-20000-0-40340	[36, 38, 39, 85, 104, 105, 106, 107, 117]
3	4	0-20000-0-62456	TABA	29.587777777777777	34.778055555555554	749.85	Surface land meteorological station (SYNOP), GOS, CLIMAT(C)	29 35 16N	034 46 41E	62456	999.0	999.0	False	23.9		OSCAR	0-20000-0-62456	elat	10.6	29.558049	34.948212						[29.63, 29.63]	[35.02, 35.02]	era5.conv._40340	era5_1	19790909	19791202	40340	0-20000-0-40340	[36, 38, 39, 85, 104, 105, 106, 107, 117]
0	0		EILAT	29.55	34.95	12.0				40199	1973.0	1988.0	True	11.2		IGRA2	0-20300-0-40199	elat	10.6	29.558049	34.948212	ISM00040199					[29.63, 29.63]	[35.02, 35.02]	era5.conv._40340	era5_1	19790909	19791202	40340	0-20000-0-40340	[36, 38, 39, 85, 104, 105, 106, 107, 117]
0	0															WBAN	0-20500-0-nan	elat	10.6	29.558049	34.948212						[29.63, 29.63]	[35.02, 35.02]	era5.conv._40340	era5_1	19790909	19791202	40340	0-20000-0-40340	[36, 38, 39, 85, 104, 105, 106, 107, 117]
0	0															CHUAN	0-20400-0-nan	elat	10.6	29.558049	34.948212						[29.63, 29.63]	[35.02, 35.02]	era5.conv._40340	era5_1	19790909	19791202	40340	0-20000-0-40340	[36, 38, 39, 85, 104, 105, 106, 107, 117]
0	0		Eilat, Israel	29.55	34.95	-999.0				40199				11.2		SCHROEDER	0-20600-0-40199	elat	10.6	29.558049	34.948212		40199	948.0	1971-01-01 00:00:00	1971-01-01 00:00:00	[29.63, 29.63]	[35.02, 35.02]	era5.conv._40340	era5_1	19790909	19791202	40340	0-20000-0-40340	[36, 38, 39, 85, 104, 105, 106, 107, 117]
0	0		AQABA AIRPORT            	29.633333333333333	35.016666666666666	-999.0				40340				0.5		WMO	0-20700-0-40340	elat	10.6	29.558049	34.948212		40340	2058.0			[29.63, 29.63]	[35.02, 35.02]	era5.conv._40340	era5_1	19790909	19791202	40340	0-20000-0-40340	[36, 38, 39, 85, 104, 105, 106, 107, 117]
1	2		EILAT                   0	29.55	34.95	20.0				40199				11.2		WMO	0-20700-0-40199	elat	10.6	29.558049	34.948212		40199	935.0			[29.63, 29.63]	[35.02, 35.02]	era5.conv._40340	era5_1	19790909	19791202	40340	0-20000-0-40340	[36, 38, 39, 85, 104, 105, 106, 107, 117]
