file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
47741	47741	MATSUE	35.45722222222223	133.06555555555556	22.4	35 27 26N	133 03 56E	0.1	[35.46, 35.45]	[133.07, 133.05]	OSCAR	0-20000-0-47741		0-20000-0-47741	20100301	20211231	999.0	999.0	True	0-20000-0-47741	yasugi	[36, 38, 39, 85, 104, 105, 106, 107, 117]
47741	47791	MATSUE/MISAKAYAMA	35.541666666666664	133.10333333333332		35 32 30N	133 06 12E	9.9	[35.46, 35.45]	[133.07, 133.05]	OSCAR	0-20000-0-47791		0-20000-0-47791	20100301	20211231	999.0	999.0	False	0-20000-0-47741	yasugi	[36, 38, 39, 85, 104, 105, 106, 107, 117]
47741	47743	MIHO AB	35.49333333333333	133.23916666666665	6.96	35 29 36N	133 14 21E	16.2	[35.46, 35.45]	[133.07, 133.05]	OSCAR	0-20000-0-47743		0-20000-0-47743	20100301	20211231	999.0	999.0	False	0-20000-0-47741	yasugi	[36, 38, 39, 85, 104, 105, 106, 107, 117]
47741	47790	IZUMO AIRPORT	35.41361111111111	132.89	4.83	35 24 49N	132 53 24E	16.7	[35.46, 35.45]	[133.07, 133.05]	OSCAR	0-20000-0-47790		0-20000-0-47790	20100301	20211231	999.0	999.0	False	0-20000-0-47741	yasugi	[36, 38, 39, 85, 104, 105, 106, 107, 117]
47741	47742	SAKAI	35.54472222222222	133.23499999999999	3.8	35 32 41N	133 14 06E	18.1	[35.46, 35.45]	[133.07, 133.05]	OSCAR	0-20000-0-47742		0-20000-0-47742	20100301	20211231	999.0	999.0	False	0-20000-0-47741	yasugi	[36, 38, 39, 85, 104, 105, 106, 107, 117]
47741	47744	YONAGO	35.43472222222222	133.33861111111113	8.12	35 26 05N	133 20 19E	24.9	[35.46, 35.45]	[133.07, 133.05]	OSCAR	0-20000-0-47744		0-20000-0-47744	20100301	20211231	999.0	999.0	False	0-20000-0-47741	yasugi	[36, 38, 39, 85, 104, 105, 106, 107, 117]
47741	47741	MATSUE	35.4572	133.0656	16.9			0.1	[35.46, 35.45]	[133.07, 133.05]	IGRA2			0-20300-0-47741	20100301	20211231	2010.0	2021.0	True	0-20000-0-47741	yasugi	[36, 38, 39, 85, 104, 105, 106, 107, 117]
47741	47744	YONAGO	35.4333	133.35	6.0			25.9	[35.46, 35.45]	[133.07, 133.05]	IGRA2			0-20300-0-47744	20100301	20211231	1949.0	2010.0	True	0-20000-0-47741	yasugi	[36, 38, 39, 85, 104, 105, 106, 107, 117]
47741	43314	MIHO	35.5	133.23	6.096			15.6	[35.46, 35.45]	[133.07, 133.05]	WBAN			0-20500-0-43314	20100301	20211231	19480601.0	19570731.0		0-20000-0-47741	yasugi	[36, 38, 39, 85, 104, 105, 106, 107, 117]
47741									[35.46, 35.45]	[133.07, 133.05]	CHUAN			0-20400-0-nan	20100301	20211231				0-20000-0-47741	yasugi	[36, 38, 39, 85, 104, 105, 106, 107, 117]
47741	47741	Matsue, Japan	35.457	133.066	-999.0			0.1	[35.46, 35.45]	[133.07, 133.05]	SCHROEDER		47741	0-20600-0-47741	20100301	20211231				0-20000-0-47741	yasugi	[36, 38, 39, 85, 104, 105, 106, 107, 117]
47741	47744	Yonago, Japan	35.43	133.35	-999.0			26.0	[35.46, 35.45]	[133.07, 133.05]	SCHROEDER		47744	0-20600-0-47744	20100301	20211231				0-20000-0-47741	yasugi	[36, 38, 39, 85, 104, 105, 106, 107, 117]
47741	47741	MATSUE                   	35.45	133.06666666666666	21.0			0.9	[35.46, 35.45]	[133.07, 133.05]	WMO		47741	0-20700-0-47741	20100301	20211231				0-20000-0-47741	yasugi	[36, 38, 39, 85, 104, 105, 106, 107, 117]
47741	47744	YONAGO                   	35.43333333333333	133.35	-999.0			25.9	[35.46, 35.45]	[133.07, 133.05]	WMO		47744	0-20700-0-47744	20100301	20211231				0-20000-0-47741	yasugi	[36, 38, 39, 85, 104, 105, 106, 107, 117]
