	stat	lat	lon	raw	adj
0	AYM00089611	-66.2825	110.52	0.02261904761904777	0.5757734207879924
1	AYM00089642	-66.6631	140.0		
2	AYM00089664	-77.85	166.66	0.031404958677688395	0.031404958677688395
3	BAM00040427	26.267	50.61		
4	BBM00078954	13.0667	-59.48	0.921951219512194	0.7283965320122044
5	BDM00078016	32.3669	-64.67	-0.06356209150326858	-0.11971443525326858
6	BEM00006447	50.7969	4.35		
7	USM00070316	55.2011	-162.71	0.24365325077399386	0.584552956217922
8	USM00070350	57.7431	-152.48	-0.5042492917847033	0.35413298782479175
9	USM00070308	57.15	-170.21	-2.10787313050328	-0.0446267818219197
10	PSM00091408	7.3687	134.54	-0.1769911504424778	-0.9948686357795969
11	AUM00011035	48.2486	16.35	0.004005491140798061	0.004005491140798061
12	GMM00010393	52.2167	14.11	-0.011235955056180334	-0.030432823266903886
13	GMM00010739	48.8333	9.2	-0.016949152542374005	-0.5094866391629308
14	ACM00078861	17.117	-61.78		
15	AEM00041217	24.4333	54.65	0.2976833269863053	0.28027035039364623
16	AJM00037985	38.733	48.83		
17	AQM00091765	-14.3383	-170.71	0.04939393939394003	0.15828065814394005
18	ARM00087155	-27.45	-59.05		
19	ARM00087576	-34.8167	-58.53		
20	ARM00087860	-45.7833	-67.5		
21	ASM00094120	-12.4239	130.89	-0.003465366678269352	-0.11627664597518449
22	ASM00094150	-12.2742	136.82		
23	ASM00094170	-12.6778	141.92		
24	ASM00094203	-17.9475	122.23		
25	ASM00094294	-19.2483	146.76		
26	ASM00094299	-16.2833	149.96		
27	ASM00094302	-22.2406	114.09	0.18749998043745053	0.06233009925251956
28	ASM00094312	-20.3725	118.63		
29	ASM00094326	-23.795	133.88		
30	ASM00094374	-23.3753	150.47		
31	ASM00094403	-28.8044	114.69		
32	ASM00094461	-25.0342	128.3		
33	ASM00094510	-26.4139	146.25		
34	ASM00094578	-27.3917	153.12	-0.11042946657520089	0.7616901233883693
35	ASM00094610	-31.9275	115.97		
36	ASM00094647	-31.6667	128.86		
37	ASM00094659	-31.1558	136.8		
38	ASM00094672	-34.9525	138.52		
39	ASM00094638	-33.83	121.89		
40	ASM00094776	-32.7933	151.83		
41	AFM00040948	34.55	69.21	-0.10313901345291417	-0.09846487002522444
42	AFM00040990	31.5	65.85		
43	AGM00060390	36.6833	3.21	-0.0888217522658619	-0.0907841155176129
44	AGM00060549	33.5333	-0.28		
45	AGM00060550	33.683	1.0		
46	AGM00060571	31.5	-2.25	0.08378380440376867	-0.04015354465791052
47	AGM00060630	27.2333	2.5		
48	AGM00060656	27.7	-8.16		
49	AGM00060680	22.8	5.43	-0.4659863945578234	-0.22717746033956665
50	AJM00037860	40.5333	50.0		
51	AMM00037789	40.2169	44.5		
52	AOM00066160	-8.85	13.23		
53	ARM00087047	-24.85	-65.48		
54	ARM00087344	-31.3167	-64.21		
55	ARM00087623	-36.5667	-64.26		
56	ARM00087715	-38.95	-68.13		
57	ARM00087748	-38.7333	-62.16		
58	ARM00087926	-51.6333	-69.21		
59	ASM00094300	-24.8878	113.67		
60	ASM00094332	-20.6778	139.48		
61	ASM00094335	-20.6667	140.5		
62	ASM00094380	-23.85	151.25		
63	ASM00094430	-26.6136	118.53		
64	ASM00094637	-30.7847	121.45		
65	ASM00094646	-30.833	128.1		
66	ASM00094711	-31.4839	145.82		
67	ASM00094750	-34.9469	150.53		
68	ASM00094802	-34.9414	117.8		
69	ASM00094821	-37.7472	140.77		
70	ASM00094865	-37.867	144.75		
71	ASM00094866	-37.6656	144.83	-0.023495702005730788	-0.07115726853515247
72	ASM00094910	-35.1583	147.45		
73	ASM00094975	-42.8339	147.5	-0.015472779369627442	-0.3539432383540412
74	ASM00094995	-31.5422	159.07		
75	ASM00094998	-54.4994	158.93	-0.06253869969040218	0.0497916868227368
76	ASM00095527	-29.4897	149.84		
77	AUM00011120	47.2603	11.34		
78	AUM00011240	46.9931	15.43		
79	AYM00089001	-70.317	-2.36		
80	AYM00089002	-70.6667	-8.25		
81	AYM00089009	-90.0	0.0	0.19499999999999934	-949.2259734598796
82	AYM00089022	-75.445	-26.21		
83	AYM00089050	-62.183	-58.88		
84	AYM00089055	-64.2333	-56.71		
85	AYM00089062	-67.5661	-68.12		
86	AYM00089063	-65.25	-64.26		
87	AYM00089125	-80.017	-119.53		
88	AYM00089512	-70.7678	11.83	1.3230769230769222	-936.2899510310243
89	AYM00089532	-69.0053	39.58	0.19770114942528746	-0.4094582393251803
90	AYM00089542	-67.667	45.85		
91	AYM00089564	-67.6017	62.87		
92	AYM00089571	-68.5744	77.96		
93	ARM00087418	-32.8333	-68.78		
94	AYM00089592	-66.5519	93.01	0.2913043478260846	0.9239872808042147
95	AYM00089606	-78.45	106.86		
96	AYM00089625	-75.1017	123.41		
97	AYM00089671	-72.3	170.21		
98	BCM00068240	-24.55	25.91		
99	BEM00006458	50.7456	4.76		
100	BEM00006476	50.033	5.4		
101	BFM00078063	26.6167	-78.36		
102	BFM00078073	25.05	-77.46		
103	BFM00078076	25.2667	-76.3		
104	BGM00041883	24.85	89.36		
105	BGM00041923	23.7667	90.38		
106	BGM00041977	22.35	91.81		
107	BHM00078583	17.5333	-88.3	1.360714285714286	0.9223781040736065
108	BLM00085201	-16.517	-68.18		
109	BOM00026850	53.933	27.63		
110	BOM00033008	52.1167	23.68		
111	BOM00033036	52.05	29.25		
112	BOM00033041	52.4019	30.96		
113	BPM00091517	-9.4167	159.96		
114	BRM00082022	2.8333	-60.7		
115	BRM00082026	2.2239	-55.94		
116	BRM00082099	0.05	-51.06		
117	BRM00082107	-0.1167	-66.96		
118	BRM00082193	-1.3833	-48.48	0.2682593856655285	0.2682593856655285
119	BRM00082244	-2.4333	-54.71		
120	BRM00082281	-2.6	-44.23		
121	BRM00082332	-3.15	-59.98	0.14250810356015903	0.13084243625301595
122	BRM00082397	-3.7667	-38.6		
123	BRM00082400	-3.85	-32.41	-0.2085714285714291	0.1422708565848221
124	BRM00082411	-4.25	-69.93		
125	BRM00082532	-5.8167	-61.28		
126	BRM00082599	-5.9167	-35.25	-0.13511890229724616	0.015277826218340554
127	BRM00082678	-6.7667	-43.01		
128	BRM00082705	-7.5833	-72.76		
129	BRM00082765	-7.3333	-47.46		
