level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-06215	VOORSCHOTEN AWS	52.13972222222222	4.436388888888889	0.44	Surface land meteorological station (SYNOP), GOS	52 08 23N	004 26 11E	06215	999	999	False	3.6		OSCAR	0-20000-0-06215	katwijk	2.3	52.189287	4.408883						[52.17, 52.17]	[4.42, 4.42]	uadb_trhc_6210.txt	ncar	19860909	20050104	6210	0-20000-0-06215	['38', '85', '106', '107']
1	1	0-20000-0-06344	ROTTERDAM THE HAGUE AP	51.96055555555556	4.446944444444445	-4.52	Surface land meteorological station (SYNOP), GOS	51 57 38N	004 26 49E	06344	999	999	False	23.4		OSCAR	0-20000-0-06344	katwijk	2.3	52.189287	4.408883						[52.17, 52.17]	[4.42, 4.42]	uadb_trhc_6210.txt	ncar	19860909	20050104	6210	0-20000-0-06215	['38', '85', '106', '107']
2	2	0-20000-0-06330	HOEK VAN HOLLAND AWS	51.99111111111111	4.121666666666666	12.48	Surface land meteorological station (SYNOP), GOS	51 59 28N	004 07 18E	06330	999	999	False	28.5		OSCAR	0-20000-0-06330	katwijk	2.3	52.189287	4.408883						[52.17, 52.17]	[4.42, 4.42]	uadb_trhc_6210.txt	ncar	19860909	20050104	6210	0-20000-0-06215	['38', '85', '106', '107']
0	0		VALKENBURG	52.167	4.433	1.0				06210	1994	2002	True	1.0		IGRA2	0-20300-0-06210	katwijk	2.3	52.189287	4.408883	NLM00006210					[52.17, 52.17]	[4.42, 4.42]	uadb_trhc_6210.txt	ncar	19860909	20050104	6210	0-20000-0-06215	['38', '85', '106', '107']
0	0															WBAN	0-20500-0-nan	katwijk	2.3	52.189287	4.408883						[52.17, 52.17]	[4.42, 4.42]	uadb_trhc_6210.txt	ncar	19860909	20050104	6210	0-20000-0-06215	['38', '85', '106', '107']
0	0		Prinsenberg	52.17	4.35	11				5967	-999-999	-999-999		4.8		CHUAN	0-20400-0-5967	katwijk	2.3	52.189287	4.408883		-999				[52.17, 52.17]	[4.42, 4.42]	uadb_trhc_6210.txt	ncar	19860909	20050104	6210	0-20000-0-06215	['38', '85', '106', '107']
1	1		Prinsenberg	52.17	4.35	11				5004	-999-999	-999-999		4.8		CHUAN	0-20400-0-5004	katwijk	2.3	52.189287	4.408883		-999				[52.17, 52.17]	[4.42, 4.42]	uadb_trhc_6210.txt	ncar	19860909	20050104	6210	0-20000-0-06215	['38', '85', '106', '107']
2	3		Katwijk	52.22	4.43	6				5008	-999-999	-999-999		5.6		CHUAN	0-20400-0-5008	katwijk	2.3	52.189287	4.408883		-999				[52.17, 52.17]	[4.42, 4.42]	uadb_trhc_6210.txt	ncar	19860909	20050104	6210	0-20000-0-06215	['38', '85', '106', '107']
3	4		Katwijk	52.22	4.43	5				5019	-999-999	-999-999		5.6		CHUAN	0-20400-0-5019	katwijk	2.3	52.189287	4.408883		-999				[52.17, 52.17]	[4.42, 4.42]	uadb_trhc_6210.txt	ncar	19860909	20050104	6210	0-20000-0-06215	['38', '85', '106', '107']
4	5		Duin Dal	52.12	4.32	5				5017	-999-999	-999-999		8.8		CHUAN	0-20400-0-5017	katwijk	2.3	52.189287	4.408883		-999				[52.17, 52.17]	[4.42, 4.42]	uadb_trhc_6210.txt	ncar	19860909	20050104	6210	0-20000-0-06215	['38', '85', '106', '107']
5	6		Duin Dal	52.12	4.32	5				5968	-999-999	-999-999		8.8		CHUAN	0-20400-0-5968	katwijk	2.3	52.189287	4.408883		-999				[52.17, 52.17]	[4.42, 4.42]	uadb_trhc_6210.txt	ncar	19860909	20050104	6210	0-20000-0-06215	['38', '85', '106', '107']
6	8		Duin Dal	52.12	4.32	5				5016	-999-999	-999-999		8.8		CHUAN	0-20400-0-5016	katwijk	2.3	52.189287	4.408883		-999				[52.17, 52.17]	[4.42, 4.42]	uadb_trhc_6210.txt	ncar	19860909	20050104	6210	0-20000-0-06215	['38', '85', '106', '107']
