level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-47772	OSAKA	34.68222222222222	135.51916666666668	83.0	Automatic weather station (AWS), Climatological station, Surface land meteorological station (SYNOP), RBCN, GOS, CLIMAT(C), RBSN(S)	34 40 56N	135 31 09E	47772	999	999	False	1.0		OSCAR	0-20000-0-47772	moriguchi	6.8	34.733333	135.566667						[34.68, 34.68]	[135.53, 135.53]	uadb_trhc_47772.txt	ncar	19621029	20020101	47772	0-20000-0-47772	['38', '85', '106', '107']
1	2	0-20000-0-47779	YAO AIRPORT	34.59666666666667	135.60055555555556	13.06	Surface land meteorological station (SYNOP), GOS	34 35 48N	135 36 02E	47779	999	999	False	11.3		OSCAR	0-20000-0-47779	moriguchi	6.8	34.733333	135.566667						[34.68, 34.68]	[135.53, 135.53]	uadb_trhc_47772.txt	ncar	19621029	20020101	47772	0-20000-0-47772	['38', '85', '106', '107']
2	3	0-20000-0-47773	OSAKA/TAKAYASUYAMA	34.61638888888889	135.6563888888889		Precipitation station, Surface land meteorological station (SYNOP), Weather radar, GOS, WRO	34 36 59N	135 39 23E	47773	999	999	False	13.6		OSCAR	0-20000-0-47773	moriguchi	6.8	34.733333	135.566667						[34.68, 34.68]	[135.53, 135.53]	uadb_trhc_47772.txt	ncar	19621029	20020101	47772	0-20000-0-47772	['38', '85', '106', '107']
3	4	0-20000-0-47771	OSAKA INTERNATIONAL AIRPORT	34.78444444444444	135.43916666666667	14.89	Precipitation station, Surface land meteorological station (SYNOP), Weather radar, WRO, GOS	34 47 04N	135 26 21E	47771	999	999	False	14.3		OSCAR	0-20000-0-47771	moriguchi	6.8	34.733333	135.566667						[34.68, 34.68]	[135.53, 135.53]	uadb_trhc_47772.txt	ncar	19621029	20020101	47772	0-20000-0-47772	['38', '85', '106', '107']
4	5	0-20000-0-47780	NARA (47780-0)	34.67361111111111	135.83805555555557	103.77	Automatic weather station (AWS), Surface land meteorological station (SYNOP), GOS	34 40 25N	135 50 17E	47780	999	999	False	28.2		OSCAR	0-20000-0-47780	moriguchi	6.8	34.733333	135.566667						[34.68, 34.68]	[135.53, 135.53]	uadb_trhc_47772.txt	ncar	19621029	20020101	47772	0-20000-0-47772	['38', '85', '106', '107']
5	6	0-20000-0-47796	KOBE AIRPORT	34.632777777777775	135.2238888888889	8.49	Surface land meteorological station (SYNOP), GOS	34 37 58N	135 13 26E	47796	999	999	False	28.5		OSCAR	0-20000-0-47796	moriguchi	6.8	34.733333	135.566667						[34.68, 34.68]	[135.53, 135.53]	uadb_trhc_47772.txt	ncar	19621029	20020101	47772	0-20000-0-47772	['38', '85', '106', '107']
6	7	0-20000-0-47770	KOBE	34.69694444444444	135.21277777777777	30.6	Automatic weather station (AWS), Surface land meteorological station (SYNOP), GOS	34 41 49N	135 12 46E	47770	999	999	False	29.1		OSCAR	0-20000-0-47770	moriguchi	6.8	34.733333	135.566667						[34.68, 34.68]	[135.53, 135.53]	uadb_trhc_47772.txt	ncar	19621029	20020101	47772	0-20000-0-47772	['38', '85', '106', '107']
0	0		OSAKA	34.683	135.517	83.0				47772	1947	1992	True	1.2		IGRA2	0-20300-0-47772	moriguchi	6.8	34.733333	135.566667	JAM00047772					[34.68, 34.68]	[135.53, 135.53]	uadb_trhc_47772.txt	ncar	19621029	20020101	47772	0-20000-0-47772	['38', '85', '106', '107']
0	0		OSAKA	34.8	135.43	16.154400000000003				43302	19451101	19571031		16.2		WBAN	0-20500-0-43302	moriguchi	6.8	34.733333	135.566667						[34.68, 34.68]	[135.53, 135.53]	uadb_trhc_47772.txt	ncar	19621029	20020101	47772	0-20000-0-47772	['38', '85', '106', '107']
0	0		Oosaka	34.65	135.43	2				5264	-999-999	-999-999		9.8		CHUAN	0-20400-0-5264	moriguchi	6.8	34.733333	135.566667		-999				[34.68, 34.68]	[135.53, 135.53]	uadb_trhc_47772.txt	ncar	19621029	20020101	47772	0-20000-0-47772	['38', '85', '106', '107']
0	0		RJOO Osaka (Itami Air Base (operated by US Air Force)), Japan (WBAN=43302)	34.8	135.4	-999				47772				17.9		SCHROEDER	0-20600-0-47772	moriguchi	6.8	34.733333	135.566667		47772	1364.0	1947-01-14 00:00:00	1980-02-05 00:00:00	[34.68, 34.68]	[135.53, 135.53]	uadb_trhc_47772.txt	ncar	19621029	20020101	47772	0-20000-0-47772	['38', '85', '106', '107']
0	0		OSAKA                    	34.68333333333333	135.51666666666668	82.0				47772				1.3		WMO	0-20700-0-47772	moriguchi	6.8	34.733333	135.566667		47772	619.0			[34.68, 34.68]	[135.53, 135.53]	uadb_trhc_47772.txt	ncar	19621029	20020101	47772	0-20000-0-47772	['38', '85', '106', '107']
1	2		NARA                     	34.7	135.83333333333334	-999.0				47780				27.9		WMO	0-20700-0-47780	moriguchi	6.8	34.733333	135.566667		47780	5341.0			[34.68, 34.68]	[135.53, 135.53]	uadb_trhc_47772.txt	ncar	19621029	20020101	47772	0-20000-0-47772	['38', '85', '106', '107']
